codigo,nome_decomp,nome_completo,arquivo_fonte
1,CAMARGOS,CAMARGOS,UH
2,ITUTINGA,ITUTINGA,UH
4,FUNIL-GRANDE,Funil Grande,UH
6,FURNAS,FURNAS,UH
7,M. DE MORAES,Mascarenhas de Moraes,UH
8,ESTREITO,ESTREITO,UH
9,JAGUARA,JAGUARA,UH
10,IGARAPAVA,IGARAPAVA,UH
11,VOLTA GRANDE,VOLTA GRANDE,UH
12,P. COLOMBIA,Porto Colombia,UH
14,CACONDE,Caconde,UH
15,E. DA CUNHA,Euclides da cunha,UH
16,A.S.OLIVEIRA,Armando Salles de Oliveira,UH
17,MARIMBONDO,Marimbondo,UH
18,A. VERMELHA,Água vermelha,UH
20,BATALHA,Batalha,UH
21,SERRA FACAO,Serra facao ,UH
24,EMBORCACAO,Emborcacao,UH
25,NOVA PONTE,Nova Ponte,UH
26,MIRANDA,Miranda,UH
27,CAPIM BRANC1,Capim Branco 1,UH
28,CAPIM BRANC2,Capim Branco 2,UH
29,CORUMBA IV,Corumba IV  ,UH
30,CORUMBA I,CORUMBA I,UH
31,ITUMBIARA,ITUMBIARA,UH
32,CACH.DOURADA,Cachoeira Dourada,UH
33,SAO SIMAO,SAO SIMAO,UH
34,I. SOLTEIRA,Ilha Solteira,UH
37,BARRA BONITA,Barra Bonita,UH
38,A.S. LIMA,Álvaro de Souza Lima,UH
39,IBITINGA,Ibitinga,UH
40,PROMISSAO,Promissao ,UH
42,NAVANHANDAVA,navanhandava ,UH
43,TRES IRMAOS,Tres Irmaos ,UH
45,JUPIA,Jupia,UH
46,P. PRIMAVERA,Porto Primavera,UH
47,A.A. LAYDNER,Armando Avellanar Laydner,UH
48,PIRAJU,Piraju ,UH
49,CHAVANTES,Chavantes,UH
50,L.N. GARCEZ,Lucas Nogueira Garcez,UH
51,CANOAS II,Canoas II,UH
52,CANOAS I,Canoas I ,UH
53,PARANAPANEMA,Paranapanema,UH
57,MAUA,MAUA,UH
61,CAPIVARA,CAPIVARA,UH
62,TAQUARUCU,TAQUARUCU,UH
63,ROSANA,ROSANA,UH
66,ITAIPU,ITAIPU,UH
71,STA CLARA PR,Santa Clara Paraná,UH
72,FUNDAO,Fundao ,UH
73,JORDAO,Jordao ,UH
74,G.B. MUNHOZ,Foz do Areia,UH
76,SEGREDO,Segredo,UH
77,SLT.SANTIAGO,Salto Santiago,UH
78,SALTO OSORIO,Salto Osorio ,UH
82,SALTO CAXIAS,Salto Caxias ,UH
83,BAIXO IGUACU,Baixo Iguaçu ,UH
86,BARRA GRANDE,BARRA GRANDE,UH
88,SAO ROQUE,SAO ROQUE,UH
89,GARIBALDI,GARIBALDI,UH
90,CAMPOS NOVOS,CAMPOS NOVOS,UH
91,MACHADINHO,MACHADINHO,UH
92,ITA,ITA,UH
93,PASSO FUNDO,PASSO FUNDO,UH
94,MONJOLINHO,MONJOLINHO,UH
95,QUEBRA QUEIX,Quebra Queixo,UH
97,CASTRO ALVES,CASTRO ALVES,UH
98,MONTE CLARO,MONTE CLARO,UH
99,14 DE JULHO,14 DE JULHO,UH
101,SAO JOSE,SAO JOSE,UH
102,PASSO S JOAO,Passo São Joao,UH
103,FOZ CHAPECO,FOZ CHAPECO,UH
107,EDGARD SOUZA,EDGARD SOUZA,UH
108,TRAICAO,TRAICAO,UH
109,PEDREIRA,PEDREIRA,UH
110,ERNESTINA,ERNESTINA,UH
111,PASSO REAL,PASSO REAL,UH
112,JACUI,JACUI,UH
113,ITAUBA,ITAUBA,UH
114,D. FRANCISCA,Dona Francisca,UH
115,G.P. SOUZA,Governador Parigot de Souza,UH
117,GUARAPIRANGA,Guarapiranga ,UH
118,BILLINGS,Billings ,UH
119,HENRY BORDEN,HENRY BORDEN,UH
120,JAGUARI,JAGUARI,UH
121,PARAIBUNA,PARAIBUNA,UH
122,SANTA BRANCA,SANTA BRANCA,UH
123,FUNIL,FUNIL,UH
