codigo,nome_arquivo,nome_completo,usina ,arquivo_fonte,tipo
1,ANGRA 1,ANGRA 1,Angra 1,EXPT,usina
4,ST.CRUZ 34,ST.CRUZ 34,Santa Cruz 34,EXPT,usina
12,CUIABA G CC,CUIABA G CC,Cuiaba G GC,EXPT,usina
13,ANGRA 2,ANGRA 2,Angra 2,EXPT,usina
21,MARANHAO V,MARANHAO V,Maranhao V ,EXPT,usina
24,J.LACERDA C,J.LACERDA C,Jorge Lacerda C,EXPT,usina
25,J.LACERDA B,J.LACERDA B,Jorge Lacerda B,EXPT,usina
26,J.LACERDA A1,J.LACERDA A1,Jorge Lacerda A1,EXPT,usina
27,J.LACERDA A2,J.LACERDA A2,Jorge Lacerda A2,EXPT,usina
35,URUGUAIANA,URUGUAIANA,Uruguaiana,EXPT,usina
36,MARANHAO IV,MARANHAO IV,Maranhao IV,EXPT,usina
43,TERMOBAHIA,TERMOBAHIA,Termobahia,EXPT,usina
46,N.VENECIA 2,N.VENECIA 2,Nova Venecia 2,EXPT,usina
47,TERMORIO,TERMORIO,Termorio ,EXPT,usina
48,ARAUCARIA,ARAUCARIA,Araucaria,EXPT,usina
49,VIANA,VIANA,Viana ,EXPT,usina
52,CAMPINA GDE,CAMPINA GDE,Campina GDE,EXPT,usina
53,GLOBAL I,GLOBAL I,Global I,EXPT,usina
54,JUIZ DE FORA,JUIZ DE FORA,Juiz de Fora,EXPT,usina
55,GLOBAL II,GLOBAL II,Global II,EXPT,usina
57,MARACANAU I,MARACANAU I,Maracanau I ,EXPT,usina
58,TERMOCEARA,TERMOCEARA,Termoceara,EXPT,usina
60,NORTEFLU,NORTEFLU,Norteflu,EXPT,usina
62,SEROPEDICA,SEROPEDICA,Seropedica,EXPT,usina
63,IBIRITE,IBIRITE,Ibirite,EXPT,usina
64,CANOAS,CANOAS,Canoas ,EXPT,usina
65,DO ATLAN_CSA,DO ATLAN_CSA,DO ATLAN_CSA,EXPT,usina
67,TERMONE,TERMONE,Termone,EXPT,usina
68,TRES LAGOAS,TRES LAGOAS,Tres Lagoas ,EXPT,usina
69,TERMOPB,TERMOPB,Termoparaiba,EXPT,usina
70,GERAMAR II,GERAMAR II,Geramar II,EXPT,usina
73,GERAMAR I,GERAMAR I,Geramar I,EXPT,usina
83,VALE DO ACU,VALE DO ACU,Vale do Acu,EXPT,usina
86,ST.CRUZ NOVA,ST.CRUZ NOVA,Santa Cruz Nova,EXPT,usina
90,TERMOMACAE,TERMOMACAE,Termomacae,EXPT,usina
96,TERMOPE,TERMOPE,Termope,EXPT,usina
97,CUBATAO,CUBATAO,Cubatão,EXPT,usina
98,PERNAMBU_III,PERNAMBU_III,Pernambuco III,EXPT,usina
106,ERB CANDEIAS,ERB CANDEIAS,ERB Candeias,EXPT,usina
107,PAMPA SUL,PAMPA SUL,Pampa Sul ,EXPT,usina
108,XAVANTES,XAVANTES,Xavantes,EXPT,usina
110,N.PIRATINING,N.PIRATINING,Piratininga ,EXPT,usina
116,PARNAIBA IV,PARNAIBA IV,Parnaiba IV,EXPT,usina
137,GNA I,GNA I,GNA I,EXPT,usina
140,MAUA 3,MAUA 3,Maua 3,EXPT,usina
144,PETROLINA,PETROLINA,Petrolina ,EXPT,usina
146,STA VITORIA,STA VITORIA,Santa vitória,EXPT,usina
147,PROSPERIDADE,PROSPERIDADE,Prosperidade ,EXPT,usina
