codigo,nome_decomp,nome_completo,arquivo_fonte
1,ANGRA 1,Angra 1,CT
4,ST.CRUZ 34,Santa Cruz 34,CT
12,CUIABA CC,Cuiaba CC,CT
13,ANGRA 2,Angra 2,CT
21,MARANHAO V,Maranhao V,CT
24,J.LACER. C,Jorge Lacerda C,CT
25,J.LACER. B,Jorge Lacerda B,CT
26,J.LAC. A1,Jorge Lacda A1,CT
27,J.LAC. A2,Jorge Lacda A2,CT
28,FIGUEIRA,FIGUEIRA,CT
35,URUGUAIANA,URUGUAIANA,CT
36,MARANHAOIV,Maranhao 4,CT
43,T.BAHIA,Termobahia,CT
46,N.VENECIA2,Nova Venecia 2,CT
47,TERMORIO,TERMORIO,CT
48,ARAUCARIA,ARAUCARIA,CT
49,VIANA,VIANA,CT
50,PIRAT.12 O,Piratininga 12,CT
52,CAMPINA_GR,Campina Grande,CT
53,GLOBAL I,Global I,CT
54,J.FORA,Juiz de Fora,CT
55,GLOBAL II,GLOBAL II,CT
57,MARACANAU,MARACANAU,CT
58,TERMOCEARA,TERMOCEARA,CT
60,NORTEFLU,NORTEFLU,CT
62,SEROPEDICA,SEROPEDICA,CT
63,IBIRITE,IBIRITE,CT
64,CANOAS,CANOAS,CT
65,ATLAN_CSA,ATLAN_CSA,CT
67,TERMONE,TERMONE,CT
68,T.LAGOAS,Três Lagoas,CT
69,TERMOPB,TERMOPB,CT
70,GERAMAR2,Geramar 2,CT
73,GERAMAR1,Geramar 1,CT
83,VALE ACU,Vale Açu,CT
90,T.MACAE,Termomacae,CT
96,TERMOPE,TERMOPE,CT
97,CUBATAO,CUBATAO,CT
98,PERNAMBU_3,Pernambuco 3,CT
106,ERB CANDEI,ERB CANDEI,CT
107,PAMPA SUL,PAMPA SUL,CT
108,XAVANTES,XAVANTES,CT
110,NPIRATINGA,NPIRATINGA,CT
116,PARNAIB_IV,Parnaiva IV,CT
137,UTE GNA I,GNA I,CT
140,UTE MAUA 3,MAUA 3,CT
144,PETROLINA,PETROLINA,CT
146,UTE STA VI,Santa Vitória,CT
147,PROSP_I,Prosp_I,CT
149,SAO SEPE,Sao Sepe,CT
151,POTIGUAR,POTIGUAR,CT
152,TERMOCABO,TERMOCABO,CT
153,DAIA,DAIA,CT
156,CANDIOTA_3,Candiota_3,CT
161,POTIGUAR_3,Potiguar_3,CT
162,PECEM 2,Pecem 2,CT
163,P.PECEM2,P.Pecem2,CT
167,P.PECEM1,P.Pecem1,CT
170,SUAPE II,Suape Ii,CT
176,P. ITAQUI,P. Itaqui,CT
182,PALMEIR_GO,Palmeir_Go,CT
183,ATLANTICO,ATLANTICO,CT
194,TNORTE 2,Termonorte 2,CT
201,APARECIDA,APARECIDA,CT
203,C. ROCHA,C. Rocha,CT
204,JARAQUI,JARAQUI,CT
205,MANAUARA,MANAUARA,CT
207,PONTA NEGR,Ponta Negra,CT
209,TAMBAQUI,TAMBAQUI,CT
211,BAIXADA FL,Baixada Flu,CT
212,MARANHAO3,Maranhao 3,CT
223,PROSP_III,Prosp_Iii,CT
229,O.PINTADA,Onça Pintada,CT
235,C.MURICY 2,Camaçari Muricy 2,CT
236,M.AZUL,Marlim Azul,CT
239,PARNAIBA_V,Parnaiba 5,CT
241,PROSP_II,Prosp_Ii,CT
245,KARKEY 013,Karkey 013,CT
246,KARKEY 019,Karkey 019,CT
247,LORM_PCS,Lorm_Pcs,CT
248,PAULINIAqaisPAULINIA,CT
249,PORSUD I,Porsud I,CT
250,PORSUD II,Porsud Ii,CT
251,POVOACAO I,Povoacao I,CT
253,VIANA I,Viana I,CT
254,B.BONITA I,Jorge Bonitada I,CT
334,W.ARJONA,William Arjona ,CT
434,W.ARJONA O,William ArjonaOO,CT
446,N.VENEC2_F,Nova Venecia2FFF,CT
497,CUBATAO_F,Cubatao_F,CT
