&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& NomePEE : Nome do parque eólico equivalente
&*******;*********;**************************************************
&       ;CodPEE   ;NomePEE
&-      ;         ;
&SSSSSSS;IIIIIIIII;SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS
 PEE-CAD;        1;Eolica SECO
 PEE-CAD;        2;Eolica S
 PEE-CAD;        3;Eolica NE
 PEE-CAD;        4;Eolica N
 PEE-CAD;        11;Fotovoltaica SECO
 PEE-CAD;        12;Fotovoltaica S
 PEE-CAD;        13;Fotovoltaica NE
 PEE-CAD;        14;Fotovoltaica N
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& EstadoOperEolica : Estado de operação da usina eólica no estudo
&**************;*********;*******;*******;****************
&              ;CodPEE   ;PerIni ;PerFin ;EstadoOperEolica
&-             ;         ;       ;       ;
&SSSSSSSSSSSSSS;IIIIIIIII;IIIIIII;IIIIIII;IIIIIIIIIIIIIIII
 PEE-CONFIG-PER;        1;      1;      6;centralizado
 PEE-CONFIG-PER;        2;      1;      6;centralizado
 PEE-CONFIG-PER;        3;      1;      6;centralizado
 PEE-CONFIG-PER;        4;      1;      6;centralizado
 PEE-CONFIG-PER;       11;      1;      6;centralizado
 PEE-CONFIG-PER;       12;      1;      6;centralizado
 PEE-CONFIG-PER;       13;      1;      6;centralizado
 PEE-CONFIG-PER;       14;      1;      6;centralizado
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& CodSubm : Código do Submercado
&********;*********;********
&        ;CodPEE   ;CodSubm
&-       ;         ;
&SSSSSSSS;IIIIIIIII;IIIIIIII
 PEE-SUBM;        1;       1
 PEE-SUBM;        2;       2
 PEE-SUBM;        3;       3
 PEE-SUBM;        4;       4
 PEE-SUBM;       11;       1
 PEE-SUBM;       12;       2
 PEE-SUBM;       13;       3
 PEE-SUBM;       14;       4
&
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& PotInstPEE : Capacidade (potência instalada) do parque eólico equivalente
&****************;*********;*******;*******;***************
&                ;CodPEE   ;PerIni ;PerFin ;PotInstPEE
&-               ;         ;       ;       ;MW
&SSSSSSSSSSSSSSSS;IIIIIIIII;IIIIIII;IIIIIII;FFFFFFFFFFFFFFF
 PEE-POT-INST-PER;        1;      1;      6;          99999
 PEE-POT-INST-PER;        2;      1;      6;          99999
 PEE-POT-INST-PER;        3;      1;      6;          99999
 PEE-POT-INST-PER;        4;      1;      6;          99999
 PEE-POT-INST-PER;       11;      1;      6;          99999
 PEE-POT-INST-PER;       12;      1;      6;          99999
 PEE-POT-INST-PER;       13;      1;      6;          99999
 PEE-POT-INST-PER;       14;      1;      6;          99999
 &
&**************************************************
& Descrição colunas:
&**************************************************
& ID: Identificador do card
& CodPEE : Identificador único do parque eólico equivalente
& PerIni : Período inicial de validade do dado
& PerFin : Período final de validade do dado
& Pat : Índice do patamar de carga no período
& GerEolica : Valor de geração eólica
&*******************;*********;*******;*******;******;***;***********
&                   ;CodPEE   ;PerIni ;PerFin ;Pat   ;Cen;GerEolica
&-                  ;         ;       ;       ;      ;   ;MW
PEE-GER-PER-PAT-CEN;1;1;1;1;1;10.7656
PEE-GER-PER-PAT-CEN;1;1;1;2;1;7.8377
PEE-GER-PER-PAT-CEN;1;1;1;3;1;5.7929
PEE-GER-PER-PAT-CEN;1;2;2;1;1;10.7656
PEE-GER-PER-PAT-CEN;1;2;2;2;1;7.8377
PEE-GER-PER-PAT-CEN;1;2;2;3;1;5.7929
PEE-GER-PER-PAT-CEN;1;3;3;1;1;10.7656
PEE-GER-PER-PAT-CEN;1;3;3;2;1;7.8377
PEE-GER-PER-PAT-CEN;1;3;3;3;1;5.7929
PEE-GER-PER-PAT-CEN;1;4;4;1;1;10.7656
PEE-GER-PER-PAT-CEN;1;4;4;2;1;7.8377
PEE-GER-PER-PAT-CEN;1;4;4;3;1;5.7929
PEE-GER-PER-PAT-CEN;1;5;5;1;1;10.7656
PEE-GER-PER-PAT-CEN;1;5;5;2;1;7.8377
PEE-GER-PER-PAT-CEN;1;5;5;3;1;5.7929
PEE-GER-PER-PAT-CEN;1;6;6;1;1;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;1;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;1;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;2;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;2;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;2;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;3;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;3;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;3;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;4;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;4;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;4;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;5;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;5;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;5;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;6;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;6;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;6;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;7;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;7;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;7;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;8;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;8;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;8;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;9;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;9;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;9;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;10;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;10;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;10;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;11;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;11;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;11;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;12;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;12;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;12;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;13;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;13;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;13;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;14;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;14;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;14;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;15;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;15;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;15;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;16;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;16;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;16;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;17;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;17;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;17;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;18;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;18;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;18;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;19;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;19;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;19;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;20;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;20;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;20;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;21;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;21;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;21;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;22;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;22;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;22;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;23;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;23;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;23;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;24;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;24;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;24;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;25;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;25;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;25;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;26;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;26;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;26;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;27;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;27;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;27;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;28;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;28;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;28;6.1113
PEE-GER-PER-PAT-CEN;1;6;6;1;29;10.15
PEE-GER-PER-PAT-CEN;1;6;6;2;29;8.6473
PEE-GER-PER-PAT-CEN;1;6;6;3;29;6.1113
