EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
13ELENUCLEAR       1ANGRA 1           1 05042025  70    640.00
68PETROBRAS       97CUBATAO           1 14062025  22    166.13
68PETROBRAS       97CUBATAO           2 09082025  25     49.87
92TERNIUM         65DO ATLAN_CSA      1 01032025   8    148.04
92TERNIUM         65DO ATLAN_CSA      1 01102025   8    148.04
26GNA I          137GNA I             1 07042025   5    290.70
26GNA I          137GNA I             2 21042025   5    290.70
26GNA I          137GNA I             3 05052025   5    290.70
68PETROBRAS       63IBIRITE           1 02102025  31    161.00
68PETROBRAS       63IBIRITE           2 02102025  31     74.00
68PETROBRAS       54JUIZ DE FORA      1 03032025   7     43.94
68PETROBRAS       54JUIZ DE FORA      2 10032025   7     43.11
30KARKEY KARA    245KARKEY 013        5 02112025   1     20.65
30KARKEY KARA    245KARKEY 013        6 10112025   1     20.65
30KARKEY KARA    245KARKEY 013        7 02052025   1     20.65
30KARKEY KARA    245KARKEY 013        8 10052025   1     20.65
30KARKEY KARA    246KARKEY 019        1 01042025   1     18.32
30KARKEY KARA    246KARKEY 019        2 01042025   1     18.32
30KARKEY KARA    246KARKEY 019        3 05102025   1     18.32
30KARKEY KARA    246KARKEY 019        4 07042025   1     18.32
30KARKEY KARA    246KARKEY 019        5 09042025   1     18.32
30KARKEY KARA    246KARKEY 019        6 11042025   1     18.32
30KARKEY KARA    246KARKEY 019        7 01082025   1      6.00
29MARLIM AZL     236MARLIM AZUL       1 05052025  55    565.50
68PETROBRAS      110N.PIRATININGA     1 14042025   6     96.41
68PETROBRAS      110N.PIRATININGA     2 07042025   6     96.39
68PETROBRAS      110N.PIRATININGA     3 31032025   6     96.91
68PETROBRAS      110N.PIRATININGA     4 21042025   6     96.67
27ELDORADO       229ONCA PINTADA      1 27032025   5     50.00
27ELDORADO       229ONCA PINTADA      1 18102025   3     50.00
20DIFERENCIAL    249PORSUD I          1 05102025   1     19.32
20DIFERENCIAL    249PORSUD I          2 10102025   1     19.32
20DIFERENCIAL    249PORSUD I          3 12102025   1     19.32
20DIFERENCIAL    249PORSUD I          4 01102025   1     19.32
20DIFERENCIAL    249PORSUD I          5 21112025   1     19.32
20DIFERENCIAL    249PORSUD I          6 05112025   1     19.32
20DIFERENCIAL    250PORSUD II         1 02102025   1     18.45
20DIFERENCIAL    250PORSUD II         2 03102025   1     18.45
20DIFERENCIAL    250PORSUD II         3 04102025   1     18.45
20DIFERENCIAL    250PORSUD II         4 05102025   1     18.45
20DIFERENCIAL    250PORSUD II         5 06102025   1      4.52
68PETROBRAS       62SEROPEDICA        3 19042025   7     45.00
68PETROBRAS       62SEROPEDICA        3 21052025  11     45.00
