NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    2.14   9.55   0.00 639.99 639.99 083.48 000.00 354.92 509.82 509.82 509.82 509.82 509.82 509.82 509.82
  13 ANGRA 2       1350. 100.    2.78  15.09   0.00 1350.0 1350.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0
 211 BAIXADA FLU    530. 100.    7.78   5.23   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 256 CIDADE LIVRO     0. 100.    2.50   5.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  97 CUBATAO        250. 100.    9.61   5.97   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  12 CUIABA G CC    529.  90.    7.62   3.86   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 153 DAIA            44. 100.    0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  65 DO ATLAN_CSA   148.  93.    1.37   6.11   0.00 142.89 072.69 146.00 146.00 146.00 146.00 146.00 146.00 108.32 146.00 146.00 130.60
 183 DO_ATLANTICO   235.  93.    1.37   6.11   0.00 218.68 218.68 201.50 201.50 201.50 201.50 201.50 201.50 201.50 201.50 201.50 000.00
 137 GNA I         1338. 100.    5.38   2.88   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 238 GNA II           0. 100.    2.50   2.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 1598.2 1598.2 1278.6 000.00 000.00
  63 IBIRITE        235. 100.    2.16   5.44   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  54 JUIZ DE FORA    87. 100.    6.72   4.84   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 245 KARKEY 013     259. 100.    0.88   3.33   0.00 030.00 030.00 029.00 029.00 029.00 029.00 029.00 029.00 029.00 029.00 029.00 000.00
 246 KARKEY 019     116. 100.    0.76   2.29   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  15 LINHARES       204. 100.    2.16   1.62   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 257 LINHARES LRC     0. 100.    2.19   1.84   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 247 LINHARES PCS    36. 100.    1.87   1.19   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 236 MARLIM AZUL    566. 100.    5.00   4.92   0.00 472.00 472.00 420.84 000.00 000.00 000.00 000.00 000.00 000.00 420.84 420.84 000.00
 110 N.PIRATINING   386.  97.    4.19  15.22   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  60 NORTEFLU       827. 100.    1.92   2.98   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 229 ONCA PINTADA    50.  95.    2.21   3.38   0.00 000.00 000.00 027.44 027.44 027.44 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 182 PALMEIRAS GO   176.  80.   63.73   8.53   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 248 PAULINIA VER    16. 100.    1.63   0.66   0.00 015.70 015.70 015.68 015.68 015.68 015.68 015.68 015.68 015.68 015.68 015.68 000.00
  50 PIRAT.12 G     200. 100.    6.57  12.08   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 249 PORSUD I       116. 100.    0.81   3.14   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 250 PORSUD II       78. 100.    0.82   4.11   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 251 POVOACAO 1      75. 100.    1.93   1.18   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  62 SEROPEDICA     360. 100.    9.79   3.64   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
   4 ST.CRUZ 34     436.  92.   24.25  18.01   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  86 ST.CRUZ NOVA   500. 100.    4.91   5.73   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 146 STA VITORIA     41.  93.    3.92  10.64   0.00 000.00 000.00 016.00 016.00 016.00 016.00 016.00 016.00 016.00 016.00 016.00 015.33
 194 T. NORTE 2     349.  94.    0.24   1.40   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  90 TERMOMACAE     923. 100.    8.07   5.58   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  47 TERMORIO       989. 100.   14.08   4.68   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  68 TRES LAGOAS    350. 100.   11.26   4.07   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  49 VIANA          175. 100.    0.89   0.43   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 253 VIANA 1         37. 100.    2.01   1.19   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
