 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2025                       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2026       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2027       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2028       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2029       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1  SUDESTE               ANDE
2025                     3327.   2893.   1957.   1577.   1689.   1618.   1916.   2309.   2487.   2781.
2026     3144.   3494.   3296.   2600.   2055.   1656.   1773.   1699.   2012.   2424.   2611.   2920.
2027     3301.   3668.   3461.   2730.   2158.   1738.   1862.   1784.   2112.   2546.   2741.   3066.
2028     3466.   3719.   3634.   2866.   2266.   1825.   1955.   1873.   2218.   2673.   2878.   3220.
2029     3639.   4045.   3815.   3010.   2379.   1917.   2053.   1967.   2329.   2807.   3022.   3381.
POS      3639.   4045.   3815.   3010.   2379.   1917.   2053.   1967.   2329.   2807.   3022.   3381.
   1  SUDESTE            MMGD SE
2025                     3157.   3186.   2792.   2745.   2822.   3189.   3010.   2957.   2833.   2934.
2026     2905.   3118.   2978.   2994.   2792.   2745.   2822.   3189.   3010.   2957.   2833.   2934.
2027     2905.   3118.   2978.   2994.   2792.   2745.   2822.   3189.   3010.   2957.   2833.   2934.
2028     2905.   3118.   2978.   2994.   2792.   2745.   2822.   3189.   3010.   2957.   2833.   2934.
2029     2905.   3118.   2978.   2994.   2792.   2745.   2822.   3189.   3010.   2957.   2833.   2934.
POS      2905.   3118.   2978.   2994.   2792.   2745.   2822.   3189.   3010.   2957.   2833.   2934.
   2      SUL             MMGD S
2025                     1344.   1240.   1020.    928.    986.   1162.   1102.   1202.   1329.   1348.
2026     1321.   1334.   1300.   1198.   1020.    928.    986.   1162.   1102.   1202.   1329.   1348.
2027     1321.   1334.   1300.   1198.   1020.    928.    986.   1162.   1102.   1202.   1329.   1348.
2028     1321.   1334.   1300.   1198.   1020.    928.    986.   1162.   1102.   1202.   1329.   1348.
2029     1321.   1334.   1300.   1198.   1020.    928.    986.   1162.   1102.   1202.   1329.   1348.
POS      1321.   1334.   1300.   1198.   1020.    928.    986.   1162.   1102.   1202.   1329.   1348.
   3 NORDESTE            MMGD NE
2025                     1205.   1118.    950.    914.    952.   1061.   1126.   1122.   1112.   1074.
2026     1048.   1070.   1081.   1005.    950.    914.    952.   1061.   1126.   1122.   1112.   1074.
2027     1048.   1070.   1081.   1005.    950.    914.    952.   1061.   1126.   1122.   1112.   1074.
2028     1048.   1070.   1081.   1005.    950.    914.    952.   1061.   1126.   1122.   1112.   1074.
2029     1048.   1070.   1081.   1005.    950.    914.    952.   1061.   1126.   1122.   1112.   1074.
POS      1048.   1070.   1081.   1005.    950.    914.    952.   1061.   1126.   1122.   1112.   1074.
   4    NORTE          BOA VISTA
2025                        0.      0.      0.      0.      0.      0.      0.      0.      0.      0.
2026        0.    209.    213.    206.    184.    182.    183.    199.    222.    226.    220.    213.
2027      204.    216.    220.    214.    191.    188.    190.    206.    230.    234.    228.    221.
2028      211.    215.    228.    221.    198.    195.    196.    213.    238.    242.    236.    228.
2029      219.    231.    236.    229.    204.    202.    203.    221.    246.    250.    244.    236.
POS       219.    231.    236.    229.    204.    202.    203.    221.    246.    250.    244.    236.
   4    NORTE             MMGD N
2025                      401.    405.    383.    403.    412.    447.    439.    416.    399.    376.
2026      364.    384.    387.    388.    395.    415.    424.    460.    454.    430.    413.    389.
2027      377.    384.    387.    388.    395.    415.    424.    460.    454.    430.    413.    389.
2028      377.    384.    387.    388.    395.    415.    424.    460.    454.    430.    413.    389.
2029      377.    384.    387.    388.    395.    415.    424.    460.    454.    430.    413.    389.
POS       377.    384.    387.    388.    395.    415.    424.    460.    454.    430.    413.    389.
 999
