 PCHAVE       PENALID1. PENALID2.   SIS
 XXXXXX       XXXXX.XX  XXXXX.XX    XXX
 DESVIO        8336.00                1
 DESVIO        8336.00                2
 DESVIO        8336.00                3
 DESVIO        8336.00                4
 DESVIO        8336.00                5
 DESVIO        8336.00                6
 DESVIO        8336.00                7
 DESVIO        8336.00                8
 DESVIO        8336.00                9
 DESVIO        8336.00               10
 DESVIO        8336.00               11
 DESVIO        8336.00               12
 VAZMIN        3697.19                1
 VAZMIN        3697.19                2
 VAZMIN        3697.19                3
 VAZMIN        3697.19                4
 VAZMIN        3697.19                5
 VAZMIN        3697.19                6
 VAZMIN        3697.19                7
 VAZMIN        3697.19                8
 VAZMIN        3697.19                9
 VAZMIN        3697.19               10
 VAZMIN        3697.19               11
 VAZMIN        3697.19               12
 GHMIN         3697.19                1
 GHMIN         3697.19                2
 GHMIN         3697.19                3
 GHMIN         3697.19                4
 GHMIN         3697.19                5
 GHMIN         3697.19                6
 GHMIN         3697.19                7
 GHMIN         3697.19                8
 GHMIN         3697.19                9
 GHMIN         3697.19               10
 GHMIN         3697.19               11
 GHMIN         3697.19               12
 TURBMN        3697.19                1
 TURBMN        3697.19                2
 TURBMN        3697.19                3
 TURBMN        3697.19                4
 TURBMN        3697.19                5
 TURBMN        3697.19                6
 TURBMN        3697.19                7
 TURBMN        3697.19                8
 TURBMN        3697.19                9
 TURBMN        3697.19               10
 TURBMN        3697.19               11
 TURBMN        3697.19               12
 TURBMX        3697.19                1
 TURBMX        3697.19                2
 TURBMX        3697.19                3
 TURBMX        3697.19                4
 TURBMX        3697.19                5
 TURBMX        3697.19                6
 TURBMX        3697.19                7
 TURBMX        3697.19                8
 TURBMX        3697.19                9
 TURBMX        3697.19               10
 TURBMX        3697.19               11
 TURBMX        3697.19               12
 ELETRI        3697.19                1
 ELETRI        3697.19                2
 ELETRI        3697.19                3
 ELETRI        3697.19                4
 ELETRI        3697.19                5
 ELETRI        3697.19                6
 ELETRI        3697.19                7
 ELETRI        3697.19                8
 ELETRI        3697.19                9
 ELETRI        3697.19               10
 ELETRI        3697.19               11
 ELETRI        3697.19               12
