NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   1 POTEF   640.00  4 2025          ANGRA 1
   1 FCMAX    13.33  4 2025  4 2025  
   1 TEIFT     0.00  4 2025  4 2025  
   1 GTMIN    85.30  4 2025  4 2025
   1 FCMAX     0.00  5 2025  5 2025  
   1 GTMIN   354.92  6 2025  6 2025
   1 GTMIN   509.82  7 2025
  13 POTEF  1350.00  4 2025          ANGRA 2
  13 TEIFT     0.00  4 2025  5 2025  
  13 GTMIN 01349.99  4 2025  5 2025
  13 GTMIN  1080.00  6 2025
 211 POTEF   530.00  4 2025          BAIXADA FLU
 211 TEIFT     0.00  4 2025  5 2025  
 211 IPTER     0.00  1 2026  4 2026  
 211 IPTER    64.52  5 2026  5 2026  
 211 IPTER     3.33  6 2026  6 2026  
 211 IPTER     0.00  7 2026 12 2026  
 256 POTEF    80.00  9 2026          CIDADE LIVRO
  97 POTEF   249.90  4 2025          CUBATAO
  97 FCMAX    83.63  4 2025  5 2025  
  97 TEIFT     0.00  4 2025  5 2025  
  97 GTMIN    19.62  4 2025  4 2025
  97 FCMAX    86.43  6 2025          
  97 TEIFT     8.65  6 2025          
  97 IPTER    11.35  1 2026  5 2026  
  97 IPTER    63.16  6 2026  6 2026  
  97 IPTER    23.59  7 2026  7 2026  
  97 IPTER    11.35  8 2026          
  12 POTEF   529.20  4 2025          CUIABA G CC
  12 FCMAX    92.59  4 2025  5 2025  
  12 TEIFT     0.00  4 2025  5 2025  
 153 POTEF    44.44  4 2025          DAIA
 153 FCMAX     0.00  4 2025          
  65 POTEF   148.04  4 2025          DO ATLAN_CSA
  65 FCMAX    83.23  4 2025  4 2025  
  65 TEIFT     0.00  4 2025  5 2025  
  65 GTMIN   123.20  4 2025  4 2025
  65 FCMAX    69.62  5 2025  5 2025  
  65 GTMIN   103.05  5 2025  5 2025
  65 FCMAX   100.00  6 2025          
  65 GTMIN 00146.00  6 2025  9 2025
  65 GTMIN   108.32 10 2025 10 2025
  65 GTMIN 00146.00 11 2025  3 2026
  65 IPTER     0.00  1 2026  3 2026  
  65 IPTER   100.00  4 2026  5 2026  
  65 IPTER    73.33  6 2026  6 2026  
  65 GTMIN    38.93  6 2026  6 2026
  65 IPTER     0.00  7 2026 11 2026  
  65 GTMIN 00146.00  7 2026 11 2026
  65 IPTER    12.90 12 2026 12 2026  
  65 GTMIN   127.17 12 2026 12 2026
  65 GTMIN   137.08  1 2027
 183 POTEF   235.20  4 2025          DO_ATLANTICO
 183 FCMAX    89.38  4 2025  4 2025  
 183 TEIFT     0.00  4 2025  5 2025  
 183 GTMIN   210.21  4 2025  4 2025
 183 FCMAX    86.42  5 2025  5 2025  
 183 GTMIN   203.25  5 2025  5 2025
 183 IPTER     6.11  6 2025 12 2025  
 183 GTMIN 00201.50  6 2025 12 2025
 183 FCMAX     0.00  1 2026          
 137 POTEF  1338.30  4 2025          GNA I
 137 FCMAX    99.98  4 2025  5 2025  
 137 TEIFT     0.00  4 2025  5 2025  
 238 POTEF  1672.60  9 2025          GNA II
 238 GTMIN 01598.16  9 2025 10 2025
 238 GTMIN  1278.58 11 2025 11 2025
 238 GTMIN 01598.16  7 2026 10 2026
 238 GTMIN  1278.58 11 2026 11 2026
 238 GTMIN 01598.16  7 2027 10 2027
 238 GTMIN  1278.58 11 2027 11 2027
 238 GTMIN 01598.16  7 2028 10 2028
 238 GTMIN  1278.58 11 2028 11 2028
 238 GTMIN 01598.16  7 2029 10 2029
 238 GTMIN  1278.58 11 2029 11 2029
  63 POTEF   235.00  4 2025          IBIRITE
  63 TEIFT     0.00  4 2025  5 2025  
  63 FCMAX    43.33  9 2025  9 2025  
  63 FCMAX     0.00 10 2025  6 2026  
  63 TEIFT     4.70  7 2026          
  63 IPTER     5.80  7 2026          
  54 POTEF    87.05  4 2025          JUIZ DE FORA
  54 FCMAX    96.50  4 2025  5 2025  
  54 TEIFT     0.00  4 2025  5 2025  
  54 FCMAX    99.94  6 2025  8 2025  
  54 FCMAX    43.31  9 2025  9 2025  
  54 FCMAX     0.00 10 2025          
 245 POTEF   258.64  4 2025  5 2026  KARKEY 013
 245 FCMAX    98.98  4 2025  5 2026  
 245 TEIFT     0.00  4 2025  5 2025  
 245 GTMIN 00030.00  4 2025  5 2025
 245 GTMIN 00029.00  6 2025  5 2026
 246 POTEF   115.92  4 2025  5 2026  KARKEY 019
 246 TEIFT     0.00  4 2025  5 2025  
  15 POTEF   204.00  4 2025  6 2026  LINHARES
  15 FCMAX    72.50  4 2025  4 2025  
  15 TEIFT     0.00  4 2025  7 2025  
  15 FCMAX    96.91  5 2025  5 2025  
  15 FCMAX     0.00  1 2026  6 2026  
 257 POTEF   204.00  7 2026          LINHARES LRC
 247 POTEF    36.00  4 2025  1 2026  LINHARES PCS
 247 TEIFT     0.00  4 2025  5 2025  
 247 FCMAX    32.25  1 2026  1 2026  
 236 POTEF   565.50  4 2025          MARLIM AZUL
 236 TEIFT     0.00  4 2025  5 2025  
 236 GTMIN   475.00  4 2025  4 2025
 236 GTMIN    30.65  5 2025  5 2025
 236 GTMIN 00420.84 11 2025  4 2026
 236 IPTER     0.00  1 2026  5 2026  
 236 IPTER    50.00  6 2026  6 2026  
 236 IPTER     0.00  7 2026 12 2026  
 236 GTMIN 00420.84 11 2026  4 2027
 236 GTMIN 00420.84 11 2027  4 2028
 236 GTMIN 00420.84 11 2028  4 2029
 236 GTMIN   420.84 11 2029
 110 POTEF   386.38  4 2025          N.PIRATINING
 110 FCMAX    81.93  4 2025  4 2025  
 110 TEIFT     0.00  4 2025  5 2025  
 110 FCMAX    99.67  5 2025  5 2025  
 110 FCMAX    42.03  9 2025  9 2025  
 110 FCMAX     0.00 10 2025          
  60 POTEF   826.78  4 2025          NORTEFLU
  60 FCMAX    99.91  4 2025 11 2025  
  60 TEIFT     0.00  4 2025  5 2025  
  60 FCMAX    29.00 12 2025 12 2025  
  60 FCMAX     0.00  1 2026          
 229 POTEF    50.00  4 2025          ONCA PINTADA
 229 FCMAX   100.00  4 2025  5 2025  
 229 TEIFT     0.00  4 2025  5 2025  
 229 GTMIN    28.34  4 2025  4 2025
 229 GTMIN    30.00  5 2025  5 2025
 229 GTMIN    27.44  6 2025  6 2025
 229 IPTER     0.00  1 2026  2 2026  
 229 IPTER    32.26  3 2026  3 2026  
 229 IPTER     0.00  4 2026 12 2026  
 229 GTMIN 00027.44  4 2026  6 2026
 229 GTMIN 00027.44  5 2027  7 2027
 229 GTMIN 00027.44  4 2028  6 2028
 229 GTMIN 00027.44  4 2029  6 2029
 182 POTEF   175.56  4 2025          PALMEIRAS GO
 182 FCMAX    39.87  4 2025  5 2025  
 182 TEIFT     0.00  4 2025  5 2025  
 182 FCMAX     0.00  1 2026          
 248 POTEF    15.95  4 2025 12 2025  PAULINIA VER
 248 TEIFT     0.00  4 2025  5 2025  
 248 GTMIN 00015.70  4 2025  5 2025
 248 GTMIN 00015.68  6 2025 12 2025
  50 POTEF   200.00  4 2025          PIRAT.12 G
  50 FCMAX     0.00  4 2025          
 249 POTEF   115.92  4 2025  5 2026  PORSUD I
 249 TEIFT     0.00  4 2025  5 2025  
 250 POTEF    78.32  4 2025  5 2026  PORSUD II
 250 FCMAX    99.59  4 2025  5 2025  
 250 TEIFT     0.00  4 2025  5 2025  
 250 FCMAX    99.14  6 2025  5 2026  
 251 POTEF    74.96  4 2025  1 2026  POVOACAO 1
 251 TEIFT     0.00  4 2025  5 2025  
 251 FCMAX    31.88  1 2026  1 2026  
  62 POTEF   360.00  4 2025          SEROPEDICA
  62 FCMAX    89.28  4 2025  4 2025  
  62 TEIFT     0.00  4 2025  5 2025  
  62 FCMAX    43.33  9 2025  9 2025  
  62 FCMAX     0.00 10 2025          
   4 POTEF   436.00  4 2025          ST.CRUZ 34
   4 FCMAX     0.00  4 2025          
  86 POTEF   500.00  4 2025          ST.CRUZ NOVA
  86 TEIFT     0.00  4 2025  7 2025  
  86 FCMAX     0.00  1 2027          
 146 POTEF    41.40  4 2025          STA VITORIA
 146 FCMAX    99.03  4 2025  5 2025  
 146 TEIFT     0.00  4 2025  5 2025  
 146 GTMIN    15.60  4 2025  4 2025
 146 GTMIN    18.00  5 2025  5 2025
 146 GTMIN 00016.00  6 2025 12 2025
 146 IPTER   100.00  1 2026  2 2026  
 146 IPTER     0.00  3 2026 12 2026  
 146 GTMIN    16.00  3 2026
 194 POTEF   349.00  4 2025          T. NORTE 2
 194 FCMAX     0.00  4 2025          
  90 POTEF   922.62  4 2025          TERMOMACAE
  90 FCMAX    93.07  4 2025  4 2025  
  90 TEIFT     0.00  4 2025  5 2025  
  90 FCMAX    93.30  5 2025  5 2025  
  90 FCMAX     0.00  1 2026          
  47 POTEF   989.20  4 2025  6 2026  TERMORIO
  47 TEIFT     0.00  4 2025  5 2025  
  47 GTMIN    23.04  4 2025  4 2025
  47 FCMAX     0.00  1 2026  6 2026  
  47 POTEF  1058.30  7 2026          TERMORIO
  47 FCMAX    93.47  7 2026          
  47 TEIFT     6.00  7 2026          
  47 IPTER     5.20  7 2026          
  68 POTEF   350.00  4 2025          TRES LAGOAS
  68 FCMAX    88.69  4 2025  4 2025  
  68 TEIFT     0.00  4 2025  5 2025  
  68 FCMAX    80.00  9 2025  9 2025  
  68 FCMAX     0.00 10 2025          
  49 POTEF   174.60  4 2025          VIANA
  49 TEIFT     0.00  4 2025  5 2025  
  49 IPTER     0.43  1 2026  2 2026  
  49 FCMAX    64.28  2 2026  2 2026  
  49 FCMAX     0.00  3 2026  6 2026  
  49 TEIFT     2.42  7 2026          
  49 IPTER     0.60  7 2026          
 253 POTEF    37.48  4 2025 12 2025  VIANA 1
 253 TEIFT     0.00  4 2025  5 2025  
 334 POTEF   177.12  4 2025          W. ARJONA
 334 FCMAX    33.88  4 2025  5 2025  
 334 TEIFT     0.00  4 2025  5 2025  
 334 FCMAX    84.69  6 2025  9 2025  
 334 FCMAX    79.22 10 2025 10 2025  
 334 FCMAX     0.00 11 2025  6 2026  
 334 FCMAX    84.69  7 2026          
 334 TEIFT     2.50  7 2026          
 334 IPTER     3.49  7 2026          
 334 GTMIN   138.00  7 2026
 108 POTEF    53.58  4 2025          XAVANTES
 108 FCMAX     0.00  4 2025          
  48 POTEF   484.15  4 2025          ARAUCARIA
  48 FCMAX    99.97  4 2025  5 2025  
  48 TEIFT     0.00  4 2025  5 2025  
  48 FCMAX    20.00 11 2025 11 2025  
  48 FCMAX     0.00 12 2025          
 254 POTEF    10.32  4 2025 12 2025  B. BONITA I
 254 FCMAX    91.01  4 2025 12 2025  
 254 TEIFT     0.00  4 2025  5 2025  
 254 GTMIN 00003.70  4 2025  5 2025
 237 POTEF    50.00  8 2026          CAMBARA
 237 GTMIN    20.00  8 2026
 156 POTEF   350.00  4 2025          CANDIOTA 3
 156 FCMAX     0.00  4 2025          
  64 POTEF   248.57  4 2025          CANOAS
  64 FCMAX    97.80  4 2025  5 2025  
  64 TEIFT     0.00  4 2025  5 2025  
  64 FCMAX    43.33  9 2025  9 2025  
  64 FCMAX     0.00 10 2025          
  28 POTEF    20.00  4 2025          FIGUEIRA
  28 FCMAX     0.00  4 2025          
  26 POTEF    80.00  4 2025          J.LACERDA A1
  26 TEIFT     0.00  4 2025  5 2025  
  26 GTMIN    10.67  4 2025  4 2025
  26 GTMIN 00071.89  6 2025 12 2025
  26 IPTER     0.00  1 2026  2 2026  
  26 IPTER    50.00  3 2026  3 2026  
  26 IPTER    23.33  4 2026  4 2026  
  26 IPTER    46.77  5 2026  5 2026  
  26 IPTER    26.67  6 2026  6 2026  
  26 GTMIN    52.71  6 2026  6 2026
  26 IPTER     0.00  7 2026 12 2026  
  26 GTMIN 00071.89  7 2026 12 2026
  26 GTMIN 00056.89  6 2027 12 2027
  26 GTMIN 00056.89  6 2028 12 2028
  26 GTMIN    56.89  6 2029
  27 POTEF   110.00  4 2025          J.LACERDA A2
  27 TEIFT     0.00  4 2025  5 2025  
  27 GTMIN    14.67  4 2025  4 2025
  27 GTMIN 00100.42  6 2025 12 2025
  27 GTMIN 00087.36  6 2026 12 2026
  27 GTMIN 00087.36  6 2027 12 2027
  27 GTMIN 00087.36  6 2028 12 2028
  27 GTMIN    87.36  6 2029
  25 POTEF   220.00  4 2025          J.LACERDA B
  25 FCMAX    50.00  4 2025  4 2025  
  25 TEIFT     0.00  4 2025  5 2025  
  25 GTMIN    14.67  4 2025  4 2025
  25 FCMAX    72.68  5 2025  5 2025  
  25 GTMIN 00201.91  6 2025 12 2025
  25 GTMIN 00174.41  6 2026 12 2026
  25 GTMIN 00174.41  6 2027 12 2027
  25 GTMIN 00174.41  6 2028 12 2028
  25 GTMIN   174.41  6 2029
  24 POTEF   330.00  4 2025          J.LACERDA C
  24 TEIFT     0.00  4 2025  5 2025  
  24 GTMIN    44.00  4 2025  4 2025
  24 GTMIN 00305.01  6 2025  7 2025
  24 GTMIN   157.41  8 2025  8 2025
  24 GTMIN   255.81 10 2025 10 2025
  24 GTMIN 00305.01 11 2025 12 2025
  24 GTMIN   256.00  1 2026  1 2026
  24 GTMIN 00261.39  6 2026 12 2026
  24 GTMIN   256.00  1 2027  1 2027
  24 GTMIN 00261.39  6 2027 12 2027
  24 GTMIN   256.00  1 2028  1 2028
  24 GTMIN 00261.39  6 2028 12 2028
  24 GTMIN   256.00  1 2029  1 2029
  24 GTMIN   261.39  6 2029
 107 POTEF   345.00  4 2025          PAMPA SUL
 107 FCMAX    95.27  4 2025  4 2025  
 107 TEIFT     0.00  4 2025  5 2025  
 107 FCMAX    37.81  5 2025  5 2025  
 107 GTMIN 00259.15  7 2025 11 2025
 107 GTMIN 00229.95  1 2026  2 2026
 107 GTMIN 00229.95  7 2026 11 2026
 107 GTMIN 00229.95  1 2027  2 2027
 107 GTMIN 00229.95  7 2027 11 2027
 107 GTMIN 00229.95  1 2028  2 2028
 107 GTMIN 00229.95  7 2028 11 2028
 107 GTMIN 00229.95  1 2029  2 2029
 107 GTMIN 00229.95  7 2029 11 2029
 149 POTEF     8.00  4 2025          SAO SEPE
 149 FCMAX    40.00  4 2025  4 2025  
 149 TEIFT     0.00  4 2025  5 2025  
 149 GTMIN     1.60  4 2025  4 2025
 149 FCMAX   100.00  5 2025  5 2025  
 149 GTMIN     4.00  5 2025  5 2025
 258 POTEF    28.02  7 2026          TROMBUDO
  35 POTEF   639.90  4 2025          URUGUAIANA
  35 FCMAX    88.30  4 2025 10 2025  
  35 TEIFT     0.00  4 2025  5 2025  
  35 FCMAX    17.66 11 2025 11 2025  
  35 FCMAX     0.00 12 2025          
 235 POTEF   144.45  4 2025          CAMACARI MII
 235 TEIFT     0.00  4 2025  5 2025  
  52 POTEF   169.08  4 2025          CAMPINA GDE
  52 FCMAX     0.00  4 2025          
 106 POTEF    16.79  4 2025          ERB CANDEIAS
 106 FCMAX    52.41  4 2025  4 2025  
 106 TEIFT     0.00  4 2025  5 2025  
 106 GTMIN     2.57  4 2025  4 2025
 106 FCMAX    71.47  5 2025  5 2025  
 106 GTMIN     3.50  5 2025  5 2025
 106 FCMAX    76.83  6 2025          
 106 GTMIN 00004.10  6 2025  7 2025
 106 GTMIN 00003.50  8 2025  8 2026
 106 IPTER     0.00  1 2026  8 2026  
 106 IPTER   100.00  9 2026  9 2026  
 106 IPTER     3.23 10 2026 10 2026  
 106 GTMIN     1.40 10 2026 10 2026
 106 IPTER     0.00 11 2026 12 2026  
 106 GTMIN 00003.50 11 2026  8 2027
 106 GTMIN     1.17  9 2027  9 2027
 106 GTMIN     1.40 10 2027 10 2027
 106 GTMIN 00003.50 11 2027  8 2028
 106 GTMIN     1.17  9 2028  9 2028
 106 GTMIN     1.40 10 2028 10 2028
 106 GTMIN 00003.50 11 2028  8 2029
 106 GTMIN     1.17  9 2029  9 2029
 106 GTMIN     1.40 10 2029 10 2029
 106 GTMIN     3.50 11 2029
  53 POTEF   136.40  4 2025          GLOBAL I
  53 FCMAX     0.00  4 2025  6 2026  
  53 FCMAX    92.76  7 2026          
  53 TEIFT     2.00  7 2026          
  53 IPTER     2.00  7 2026          
  55 POTEF   136.40  4 2025          GLOBAL II
  55 FCMAX     0.00  4 2025  6 2026  
  55 FCMAX    92.62  7 2026          
  55 TEIFT     2.00  7 2026          
  55 IPTER     2.00  7 2026          
  57 POTEF   147.00  4 2025          MARACANAU I
  57 FCMAX     0.00  4 2025          
 167 POTEF   720.28  4 2025          P. PECEM I
 167 FCMAX    99.96  4 2025  6 2027  
 167 TEIFT     0.00  4 2025  5 2025  
 167 IPTER     0.00  1 2026  3 2026  
 167 IPTER     3.33  4 2026  4 2026  
 167 IPTER    16.13  5 2026  5 2026  
 167 IPTER     0.00  6 2026  9 2026  
 167 IPTER    19.35 10 2026 10 2026  
 167 IPTER     0.00 11 2026 12 2026  
 167 FCMAX    74.16  7 2027  7 2027  
 167 FCMAX     0.00  8 2027          
 163 POTEF   365.00  4 2025          P. PECEM II
 163 TEIFT     0.00  4 2025  5 2025  
 163 FCMAX     6.67  9 2028  9 2028  
 163 FCMAX     0.00 10 2028          
 224 POTEF  1593.20  4 2025          P. SERGIPE I
 224 FCMAX    99.99  4 2025  7 2025  
 224 TEIFT     0.00  4 2025  7 2025  
 224 IPTER     0.00  1 2026  3 2026  
 224 IPTER     9.00  4 2026  4 2026  
 224 IPTER     0.00  5 2026 12 2026  
 162 POTEF   144.45  4 2025          PECEM II
 162 TEIFT     0.00  4 2025  5 2025  
  98 POTEF   200.79  4 2025          PERNAMBU_III
  98 TEIFT     0.00  4 2025  5 2025  
  98 FCMAX    99.98  6 2025 11 2028  
  98 FCMAX    93.53 12 2028 12 2028  
  98 FCMAX     0.00  1 2029          
 144 POTEF   136.20  4 2025          PETROLINA
 144 FCMAX     0.00  4 2025          
 151 POTEF    48.14  4 2025          POTIGUAR
 151 FCMAX     0.00  4 2025  6 2026  
 151 FCMAX    94.60  7 2026          
 151 TEIFT     2.50  7 2026          
 151 IPTER     2.00  7 2026          
 161 POTEF    51.46  4 2025          POTIGUAR III
 161 FCMAX     0.00  4 2025  6 2026  
 161 FCMAX    94.27  7 2026          
 161 TEIFT     2.84  7 2026          
 161 IPTER     2.00  7 2026          
 223 POTEF    55.99  4 2025          PROSPERI III
 223 FCMAX    99.06  4 2025  4 2025  
 223 TEIFT     0.00  4 2025  5 2025  
 223 IPTER     0.00  1 2026  1 2026  
 223 IPTER     3.57  2 2026  2 2026  
 223 IPTER     1.61  3 2026  3 2026  
 223 IPTER     3.33  4 2026  4 2026  
 223 IPTER     0.00  5 2026 12 2026  
 241 POTEF    37.44  4 2025          PROSPERID II
 241 FCMAX    99.63  4 2025  5 2025  
 241 TEIFT     0.00  4 2025  5 2025  
 241 GTMIN     0.53  4 2025  4 2025
 241 IPTER     0.00  1 2026  6 2026  
 241 IPTER     2.42  7 2026  7 2026  
 241 IPTER     4.84  8 2026  8 2026  
 241 IPTER     2.50  9 2026  9 2026  
 241 IPTER     0.00 10 2026 12 2026  
 147 POTEF    28.02  4 2025          PROSPERIDADE
 147 FCMAX    99.92  4 2025  5 2025  
 147 TEIFT     0.00  4 2025  5 2025  
 147 IPTER     0.00  1 2026  4 2026  
 147 IPTER     2.15  5 2026  5 2026  
 147 IPTER     2.22  6 2026  6 2026  
 147 IPTER     0.00  7 2026  9 2026  
 147 IPTER     2.15 10 2026 10 2026  
 147 IPTER     0.00 11 2026 12 2026  
 170 POTEF   381.26  4 2025          SUAPE II
 170 TEIFT     0.00  4 2025  5 2025  
 170 FCMAX     0.00  1 2027          
  43 POTEF   185.90  4 2025          TERMOBAHIA
  43 FCMAX    85.48  4 2025  4 2025  
  43 TEIFT     0.00  4 2025  5 2025  
  43 FCMAX    32.84  5 2025  5 2025  
  43 FCMAX    85.50  6 2025  8 2025  
  43 FCMAX    74.10  9 2025  9 2025  
  43 FCMAX     0.00 10 2025          
 152 POTEF    49.73  4 2025          TERMOCABO
 152 FCMAX     0.00  4 2025          
  58 POTEF   223.00  4 2025          TERMOCEARA
  58 FCMAX    89.69  4 2025  5 2025  
  58 TEIFT     0.00  4 2025  5 2025  
  58 FCMAX    98.65  6 2025 12 2025  
  58 FCMAX     0.00  1 2026          
  67 POTEF   170.85  4 2025          TERMONE
  67 FCMAX     0.00  4 2025          
  69 POTEF   170.85  4 2025          TERMOPB
  69 FCMAX     0.00  4 2025          
  96 POTEF   550.00  4 2025          TERMOPE
  96 TEIFT     0.00  4 2025  5 2025  
  96 IPTER     0.00  1 2026  3 2026  
  96 IPTER    50.00  4 2026  4 2026  
  96 IPTER     0.00  5 2026 12 2026  
  83 POTEF   110.00  4 2025          VALE DO ACU
  83 FCMAX   100.00  4 2025          
  83 TEIFT     0.00  4 2025  5 2025  
 201 POTEF   166.00  4 2025          APARECIDA
 201 FCMAX    75.31  4 2025  4 2025  
 201 TEIFT     0.00  4 2025  5 2025  
 201 GTMIN    75.00  4 2025  4 2025
 201 FCMAX    98.87  5 2025  5 2025  
 201 GTMIN    72.66  5 2025  5 2025
 201 FCMAX    87.35  6 2025          
 201 GTMIN 00072.50  6 2025
 260 POTEF   361.50  9 2026          AZULAO
 262 POTEF   295.43  8 2027          AZULAO II
 262 GTMIN 00277.76  8 2027 12 2027
 262 GTMIN 00097.21  1 2028  2 2028
 262 GTMIN    89.60  3 2028  3 2028
 262 GTMIN    97.21  5 2028  5 2028
 262 GTMIN 00277.76  6 2028 12 2028
 262 GTMIN 00097.21  1 2029  2 2029
 262 GTMIN    89.60  3 2029  3 2029
 262 GTMIN    97.21  5 2029  5 2029
 262 GTMIN   277.76  6 2029
 263 POTEF   295.43  8 2027          AZULAO IV
 263 GTMIN 00277.76  8 2027 12 2027
 263 GTMIN 00097.21  1 2028  2 2028
 263 GTMIN    89.60  3 2028  3 2028
 263 GTMIN    97.21  5 2028  5 2028
 263 GTMIN 00277.76  6 2028 12 2028
 263 GTMIN 00097.21  1 2029  2 2029
 263 GTMIN    89.60  3 2029  3 2029
 263 GTMIN    97.21  5 2029  5 2029
 263 GTMIN   277.76  6 2029
 322 POTEF    17.94  2 2026          BBF BALIZA
 322 FCMAX    95.12  2 2026          
 322 IPTER     3.90  2 2026  2 2026  
 322 GTMIN 00006.66  2 2026  9 2029
 322 IPTER     3.53  3 2026  3 2026  
 322 IPTER    15.74  4 2026  4 2026  
 322 IPTER     3.53  5 2026  5 2026  
 322 IPTER     3.64  6 2026  6 2026  
 322 IPTER     3.53  7 2026  7 2026  
 322 IPTER    15.23  8 2026  8 2026  
 322 IPTER     3.64  9 2026  9 2026  
 322 IPTER     3.53 10 2026 10 2026  
 322 IPTER     3.64 11 2026 11 2026  
 322 IPTER    26.94 12 2026 12 2026  
 322 GTMIN 00006.66 10 2029 10 2029
 322 GTMIN     6.66 11 2029
 323 POTEF    11.50  2 2026          BONFIM
 323 GTMIN 00004.08  2 2026  8 2028
 323 GTMIN 00004.08  9 2028  9 2028
 323 GTMIN 00004.08 10 2028 10 2028
 323 GTMIN 00004.08 11 2028  8 2029
 323 GTMIN 00004.08  9 2029 10 2029
 323 GTMIN 00004.08 11 2029 11 2029
 323 GTMIN     4.08 12 2029
 203 POTEF    85.38  4 2025          C. ROCHA
 203 FCMAX    76.13  4 2025  5 2025  
 203 TEIFT     0.00  4 2025  5 2025  
 203 GTMIN    64.99  4 2025  4 2025
 203 GTMIN    49.98  5 2025  5 2025
