 PCHAVE       PENALID1. PENALID2.   SIS
 XXXXXX       XXXXX.XX  XXXXX.XX    XXX
 DESVIO        8336.00                1
 DESVIO        8336.00                2
 DESVIO        8336.00                3
 DESVIO        8336.00                4
 DESVIO        8336.00                5
 DESVIO        8336.00                6
 DESVIO        8336.00                7
 DESVIO        8336.00                8
 DESVIO        8336.00                9
 DESVIO        8336.00               10
 DESVIO        8336.00               11
 DESVIO        8336.00               12
 VAZMIN        3697.21                1
 VAZMIN        3697.21                2
 VAZMIN        3697.21                3
 VAZMIN        3697.21                4
 VAZMIN        3697.21                5
 VAZMIN        3697.21                6
 VAZMIN        3697.21                7
 VAZMIN        3697.21                8
 VAZMIN        3697.21                9
 VAZMIN        3697.21               10
 VAZMIN        3697.21               11
 VAZMIN        3697.21               12
 GHMIN         3697.21                1
 GHMIN         3697.21                2
 GHMIN         3697.21                3
 GHMIN         3697.21                4
 GHMIN         3697.21                5
 GHMIN         3697.21                6
 GHMIN         3697.21                7
 GHMIN         3697.21                8
 GHMIN         3697.21                9
 GHMIN         3697.21               10
 GHMIN         3697.21               11
 GHMIN         3697.21               12
 TURBMN        3697.21                1
 TURBMN        3697.21                2
 TURBMN        3697.21                3
 TURBMN        3697.21                4
 TURBMN        3697.21                5
 TURBMN        3697.21                6
 TURBMN        3697.21                7
 TURBMN        3697.21                8
 TURBMN        3697.21                9
 TURBMN        3697.21               10
 TURBMN        3697.21               11
 TURBMN        3697.21               12
 TURBMX        3697.21                1
 TURBMX        3697.21                2
 TURBMX        3697.21                3
 TURBMX        3697.21                4
 TURBMX        3697.21                5
 TURBMX        3697.21                6
 TURBMX        3697.21                7
 TURBMX        3697.21                8
 TURBMX        3697.21                9
 TURBMX        3697.21               10
 TURBMX        3697.21               11
 TURBMX        3697.21               12
 ELETRI        3697.21                1
 ELETRI        3697.21                2
 ELETRI        3697.21                3
 ELETRI        3697.21                4
 ELETRI        3697.21                5
 ELETRI        3697.21                6
 ELETRI        3697.21                7
 ELETRI        3697.21                8
 ELETRI        3697.21                9
 ELETRI        3697.21               10
 ELETRI        3697.21               11
 ELETRI        3697.21               12
