UH   ME ANO   P  MWmedio
XXX  XX XXXX  X  XXXX.X
 66   8 2025  0  4923.5
 66   9 2025  0  4968.0
 66  10 2025  0  4640.0
 66  11 2025  0  4896.0
 66  12 2025  0  4759.0
 66   1 2026  0  5475.0
 66   2 2026  0  5825.0
 66   3 2026  0  5627.0
 66   4 2026  0  4931.0
 66   5 2026  0  4500.0
 66  10 2026  0  4755.0
 66  11 2026  0  5024.0
 66  12 2026  0  4880.0
 66   1 2027  0  5632.0
 66   2 2027  0  5999.0
 66   3 2027  0  5792.0
 66   4 2027  0  5061.0
 66   5 2027  0  4500.0
 66  10 2027  0  4877.0
 66  11 2027  0  5158.0
 66  12 2027  0  5007.0
 66   1 2028  0  5797.0
 66   2 2028  0  6050.0
 66   3 2028  0  5965.0
 66   4 2028  0  5197.0
 66   5 2028  0  4597.0
 66   6 2028  0  4500.0
 66   9 2028  0  4549.0
 66  10 2028  0  5004.0
 66  11 2028  0  5300.0
 66  12 2028  0  5141.0
 66   1 2029  0  5970.0
 66   2 2029  0  6376.0
 66   3 2029  0  6146.0
 66   4 2029  0  5341.0
 66   5 2029  0  4710.0
 66   6 2029  0  4500.0
 66   9 2029  0  4660.0
 66  10 2029  0  5138.0
 66  11 2029  0  5448.0
 66  12 2029  0  5282.0
 66   1 POS   0  5970.0
 66   2 POS   0  6376.0
 66   3 POS   0  6146.0
 66   4 POS   0  5341.0
 66   5 POS   0  4710.0
 66   6 POS   0  4500.0
 66   9 POS   0  4660.0
 66  10 POS   0  5138.0
 66  11 POS   0  5448.0
 66  12 POS   0  5282.0
275   8 2025  0  1459.5
275   9 2025  0  1417.5
275  10 2025  0  1300.0
275  12 2025  0  1400.0
275   2 2026  0  1600.0
275   8 2026  0  1500.0
275   9 2026  0  1400.0
275  10 2026  0  1300.0
275  12 2026  0  1400.0
275   2 2027  0  1600.0
275   8 2027  0  1500.0
275   9 2027  0  1400.0
275  10 2027  0  1300.0
275  12 2027  0  1400.0
275   2 2028  0  1600.0
275   8 2028  0  1500.0
275   9 2028  0  1400.0
275  10 2028  0  1300.0
275  12 2028  0  1400.0
275   2 2029  0  1600.0
275   8 2029  0  1500.0
275   9 2029  0  1400.0
275  10 2029  0  1300.0
275  12 2029  0  1400.0
275   2 POS   0  1600.0
275   8 POS   0  1500.0
275   9 POS   0  1400.0
275  10 POS   0  1300.0
275  12 POS   0  1400.0
999
