&RE; cod_rest;  formula
RE ;        1;   ger_usih(285) + ger_usih(287)
RE ;       20;   1.0ener_interc(2,1) + 0.5ger_usih(66)
RE ;       21;   1.0ener_interc(11,1) + ger_usih(261)+ ger_usih(257)
RE ;       22;   1.0ener_interc(11,1) + 1.0ener_interc(3,1) + ger_usih(261)+ ger_usih(257)
RE ;       23;   1.0ener_interc(11,1) + 1.0ener_interc(3,1) + 1.0ener_interc(4,1) + ger_usih(261)+ ger_usih(257)
 
&RE-HORIZ-PER; cod_rest; PerIni; PerFin
RE-HORIZ-PER ;        1;2025/04;2025/05
RE-HORIZ-PER ;       20;2025/04;2026/03
RE-HORIZ-PER ;       21;2025/04;2026/03
RE-HORIZ-PER ;       22;2025/04;2025/05
RE-HORIZ-PER ;       23;2025/06;2026/03
 
&RE-LIM-FORM-PER-PAT; cod_rest;  PerIni;  PerFin;   Pat;    LimInf;  LimSup
& Escoamento Madeira
RE-LIM-FORM-PER-PAT ;        1; 2025/04; 2025/04;     1;   -1.1e30;  7417.60
RE-LIM-FORM-PER-PAT ;        1; 2025/04; 2025/04;     2;   -1.1e30;  7417.60
RE-LIM-FORM-PER-PAT ;        1; 2025/04; 2025/04;     3;   -1.1e30;  7417.60
RE-LIM-FORM-PER-PAT ;        1; 2025/05; 2025/05;     1;   -1.1e30;  7409.23
RE-LIM-FORM-PER-PAT ;        1; 2025/05; 2025/05;     2;   -1.1e30;  7409.23
RE-LIM-FORM-PER-PAT ;        1; 2025/05; 2025/05;     3;   -1.1e30;  7409.23
& Limite Sul-SE = Min (FSUL , RSE - 1/2 Itaipu) - valores de RSE:
RE-LIM-FORM-PER-PAT ;       20; 2025/04; 2025/04;     1;   -1.1e30;  7445.00
RE-LIM-FORM-PER-PAT ;       20; 2025/04; 2025/04;     2;   -1.1e30;  7445.00
RE-LIM-FORM-PER-PAT ;       20; 2025/04; 2025/04;     3;   -1.1e30;  8680.00
RE-LIM-FORM-PER-PAT ;       20; 2025/05; 2025/05;     1;   -1.1e30;  7220.00
RE-LIM-FORM-PER-PAT ;       20; 2025/05; 2025/05;     2;   -1.1e30;  9520.00
RE-LIM-FORM-PER-PAT ;       20; 2025/05; 2025/05;     3;   -1.1e30; 10480.00
RE-LIM-FORM-PER-PAT ;       20; 2025/06; 2026/01;     1;   -1.1e30; 10200.00
RE-LIM-FORM-PER-PAT ;       20; 2025/06; 2026/01;     2;   -1.1e30; 10200.00
RE-LIM-FORM-PER-PAT ;       20; 2025/06; 2026/01;     3;   -1.1e30; 11400.00
RE-LIM-FORM-PER-PAT ;       20; 2026/02; 2026/03;     1;   -1.1e30; 10200.00
RE-LIM-FORM-PER-PAT ;       20; 2026/02; 2026/03;     2;   -1.1e30; 10200.00
RE-LIM-FORM-PER-PAT ;       20; 2026/02; 2026/03;     3;   -1.1e30; 12000.00
&  Limite Imperatriz - Sudeste = FNS - Lajeado - Peixe Angical - valores do FNS:
RE-LIM-FORM-PER-PAT ;       21; 2025/04; 2025/05;     1;   -1.1e30;  3200.00
