 IUTE  NOME TERMICA LAG
 XXXX  XXXXXXXXXXXX  X  XXXXXXX.XX  XXXXXXX.XX  XXXXXXX.XX
   86  ST.CRUZ NOVA  2
                            304.35      313.99      336.31
                            500.00      482.21      446.93
   15  LINHARES      2
                              0.00        0.00        0.00
                              0.00        0.00        0.00
  224  P. SERGIPE I  2
                              0.00        0.00        2.38
                              0.00        0.00        0.00
 9999
