NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    2.19  10.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 639.99 509.82
  13 ANGRA 2       1350. 100.    2.51  15.66   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 1350.0 609.69
 211 BAIXADA FLU    530. 100.    4.14   3.68   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  97 CUBATAO        250. 100.    9.04   5.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 033.87 000.00
  12 CUIABA G CC    529.  90.   12.80  53.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 153 DAIA            44. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  65 DO ATLAN_CSA   161.  93.    2.46   7.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 110.22 145.97
 183 DO_ATLANTICO   235.  93.    2.46   7.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 208.61 000.00
 137 GNA I         1338. 100.    6.17   4.76   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 238 GNA II        1673. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 078.77 000.00
  63 IBIRITE        235. 100.    4.70   5.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  54 JUIZ DE FORA    87. 100.    5.54   3.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 245 KARKEY 013     259. 100.    1.14   2.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 031.00 000.00
 246 KARKEY 019     116. 100.    1.14   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  15 LINHARES       204. 100.    2.23   2.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 257 LINHARES LRC     0. 100.    2.19   1.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 247 LINHARES PCS    36. 100.    1.56   1.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 236 MARLIM AZUL    566. 100.    5.40   4.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 495.00 000.00
 110 N.PIRATINING   386.  97.    3.34  11.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 022.25 000.00
  60 NORTEFLU       827. 100.    2.24   2.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 229 ONCA PINTADA    50.  95.    1.60   2.79   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 182 PALMEIRAS GO   176.  80.   71.26   7.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 248 PAULINIA VER    20. 100.    5.34   0.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 015.01 000.00
 249 PORSUD I       116. 100.    1.28   2.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 250 PORSUD II       78. 100.    0.89   3.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
 251 POVOACAO 1      75. 100.    1.43   0.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  62 SEROPEDICA     360. 100.    6.64   3.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.86 000.00
   4 ST.CRUZ 34     436.  92.   24.25  18.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
  86 ST.CRUZ NOVA   500. 100.    3.94   4.47   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00
