codigo,nome_arquivo,Nome completo ,nome_completo,posto,submercado,empresa,arquivo_fonte,tipo
2,CAMARGOS,Camargos,CAMARGOS,1,1,18,HIDR,usina
3,ITUTINGA,Itutinga,ITUTINGA,2,1,18,HIDR,usina
5,FUNIL-GRANDE,Funil Grande,FUNIL-GRANDE,211,1,18,HIDR,usina
7,FURNAS,Furnas,FURNAS,6,1,339,HIDR,usina
8,M. DE MORAES,Mascarenhas de Moraes,M. DE MORAES,7,1,339,HIDR,usina
9,ESTREITO,ESTREITO,ESTREITO,8,1,339,HIDR,usina
10,JAGUARA,JAGUARA,JAGUARA,9,1,24,HIDR,usina
11,IGARAPAVA,IGARAPAVA,IGARAPAVA,10,1,18,HIDR,usina
12,VOLTA GRANDE,VOLTA GRANDE,VOLTA GRANDE,11,1,287,HIDR,usina
13,P. COLOMBIA,Porto Colombia,P. COLOMBIA,12,1,339,HIDR,usina
15,CACONDE,Caconde,CACONDE,14,1,56,HIDR,usina
16,E. DA CUNHA,Euclides da cunha,E. DA CUNHA,15,1,56,HIDR,usina
17,A.S.OLIVEIRA,Armando Salles de Oliveira,A.S.OLIVEIRA,16,1,56,HIDR,usina
18,MARIMBONDO,Marimbondo,MARIMBONDO,17,1,339,HIDR,usina
19,A. VERMELHA,Água vermelha,A. VERMELHA,18,1,56,HIDR,usina
21,BATALHA,Batalha,BATALHA,22,1,19,HIDR,usina
22,SERRA FACAO,Serra facao ,SERRA FACAO,251,1,138,HIDR,usina
23,BOCAINA,Bocaina,BOCAINA,20,1,51,HIDR,usina
25,EMBORCACAO,Emborcacao,EMBORCACAO,24,1,18,HIDR,usina
26,NOVA PONTE,Nova Ponte,NOVA PONTE,25,1,18,HIDR,usina
27,MIRANDA,Miranda,MIRANDA,206,1,24,HIDR,usina
28,CAPIM BRANC1,Capim Branco 1,CAPIM BRANC1,207,1,18,HIDR,usina
29,CAPIM BRANC2,Capim Branco 2,CAPIM BRANC2,28,1,18,HIDR,usina
30,CORUMBA IV,Corumba IV  ,CORUMBA IV,205,1,94,HIDR,usina
31,CORUMBA I,CORUMBA I,CORUMBA I,209,1,339,HIDR,usina
32,ITUMBIARA,ITUMBIARA,ITUMBIARA,31,1,339,HIDR,usina
33,CACH.DOURADA,Cachoeira Dourada,CACH.DOURADA,32,1,287,HIDR,usina
34,SAO SIMAO,SAO SIMAO,SAO SIMAO,33,1,285,HIDR,usina
35,I. SOLTEIRA,Ilha Solteira,I. SOLTEIRA,34,1,281,HIDR,usina
38,BARRA BONITA,Barra Bonita,BARRA BONITA,237,1,56,HIDR,usina
39,A.S. LIMA,Álvaro de Souza Lima,A.S. LIMA,238,1,56,HIDR,usina
40,IBITINGA,Ibitinga,IBITINGA,239,1,56,HIDR,usina
