codigo_usina;nome_usina;posto;submercado;empresa;codigo_usina_jusante;desvio;volume_minimo;volume_maximo;volume_vertedouro;volume_desvio;cota_minima;cota_maxima;a0_volume_cota;a1_volume_cota;a2_volume_cota;a3_volume_cota;a4_volume_cota;a0_cota_area;a1_cota_area;a2_cota_area;a3_cota_area;a4_cota_area;evaporacao_JAN;evaporacao_FEV;evaporacao_MAR;evaporacao_ABR;evaporacao_MAI;evaporacao_JUN;evaporacao_JUL;evaporacao_AGO;evaporacao_SET;evaporacao_OUT;evaporacao_NOV;evaporacao_DEZ;numero_conjuntos_maquinas;maquinas_conjunto_1;maquinas_conjunto_2;maquinas_conjunto_3;maquinas_conjunto_4;maquinas_conjunto_5;potencia_nominal_conjunto_1;potencia_nominal_conjunto_2;potencia_nominal_conjunto_3;potencia_nominal_conjunto_4;potencia_nominal_conjunto_5;queda_nominal_conjunto_1;queda_nominal_conjunto_2;queda_nominal_conjunto_3;queda_nominal_conjunto_4;queda_nominal_conjunto_5;vazao_nominal_conjunto_1;vazao_nominal_conjunto_2;vazao_nominal_conjunto_3;vazao_nominal_conjunto_4;vazao_nominal_conjunto_5;produtibilidade_especifica;perdas;numero_polinomios_jusante;a0_jusante_1;a1_jusante_1;a2_jusante_1;a3_jusante_1;a4_jusante_1;a0_jusante_2;a1_jusante_2;a2_jusante_2;a3_jusante_2;a4_jusante_2;a0_jusante_3;a1_jusante_3;a2_jusante_3;a3_jusante_3;a4_jusante_3;a0_jusante_4;a1_jusante_4;a2_jusante_4;a3_jusante_4;a4_jusante_4;a0_jusante_5;a1_jusante_5;a2_jusante_5;a3_jusante_5;a4_jusante_5;a0_jusante_6;a1_jusante_6;a2_jusante_6;a3_jusante_6;a4_jusante_6;referencia_jusante_1;referencia_jusante_2;referencia_jusante_3;referencia_jusante_4;referencia_jusante_5;referencia_jusante_6;canal_fuga_medio;influencia_vertimento_canal_fuga;fator_carga_maximo;fator_carga_minimo;vazao_minima_historica;numero_unidades_base;tipo_turbina;representacao_conjunto;teif;ip;tipo_perda;data;observacao;volume_referencia;tipo_regulacao
2;CAMARGOS;1;1;18;2;0;120.0;792.0;418.9700012207031;120.0;899.0;913.0;892.969970703125;0.06208899989724159;-0.00011041000107070431;1.246999943305127e-07;-5.5512001245761056e-11;13334.2998046875;-32.8660888671875;0.020089300349354744;0.0;0.0;0;2;29;40;51;46;32;23;24;15;4;7;1;2;0;0;0;0;23.0;0.0;0.0;0.0;0.0;24.600000381469727;0.0;0.0;0.0;0.0;107;0;0;0;0;0.00876679178327322;0.0949999988079071;1;886.0999755859375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;885.7290649414062;1;100.0;0.0;24;1;2;2;0.17399999499320984;3.378000020980835;2;27-11-25;;792.0;M
3;ITUTINGA;2;1;18;4;0;11.0;11.0;11.0;11.0;886.0;886.0;885.6586303710938;0.0;0.0;0.0;0.0;1.599998950958252;0.0;0.0;0.0;0.0;2;5;31;40;48;44;30;24;27;19;6;8;3;2;1;1;0;0;12.5;14.0;13.0;0.0;0.0;25.0;25.0;25.0;0.0;0.0;58;65;60;0;0;0.008649416267871857;0.6309999823570251;1;856.0897827148438;0.007649999111890793;-5.450000116979936e-06;2.6499999972173782e-09;-4.599999851515046e-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;856.8499145507812;1;100.0;0.0;24;1;2;2;0.12700000405311584;4.8979997634887695;2;27-11-25;;10.639303207397461;D
4;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
5;FUNIL-GRANDE;211;1;18;6;0;304.0;304.0;304.0;304.0;808.0;808.0;807.9130859375;0.0;0.0;0.0;0.0;37.709991455078125;0.0;0.0;0.0;0.0;6;6;31;42;48;47;33;29;33;22;10;14;1;3;0;0;0;0;60.0;0.0;0.0;0.0;0.0;34.900001525878906;0.0;0.0;0.0;0.0;191;0;0;0;0;0.009010273031890392;0.39399999380111694;1;768.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;768.1284790039062;1;100.0;0.0;48;2;2;2;1.9459999799728394;1.496000051498413;2;27-11-25;;265.8599853515625;D
6;;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0.0;0.0;0;0;0;0;0.0;0.0;0;;;0.0;
7;FURNAS;6;1;339;7;0;5733.0;22950.0;6173.759765625;5733.0;750.0;768.0;735.2457885742188;0.003496580058708787;-1.9743700363505923e-07;6.9170489648551214e-12;-9.773649804060335e-17;178827.0;-385.2768859863281;0.022135499864816666;0.00023279299784917384;0.0;13;2;25;40;52;51;43;42;39;18;12;27;2;6;2;0;0;0;152.0;152.0;0.0;0.0;0.0;90.0;89.30000305175781;0.0;0.0;0.0;188;189;0;0;0;0.00899560283869505;0.8029999732971191;1;671.6328125;0.0010173800401389599;-1.799719058226401e-07;2.5132800354765727e-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;672.2044067382812;1;100.0;0.0;102;4;1;2;2.872999906539917;1.6549999713897705;2;27-11-25;;22950.0;M
8;M. DE MORAES;7;1;339;8;0;1540.0;4040.0;1895.0;1540.0;653.1199951171875;666.1199951171875;641.77490234375;0.008088167756795883;-3.698239936511527e-07;-7.110519117947689e-11;9.123736617285601e-15;666496.0;-2931.0;4.278850078582764;-0.0020720399916172028;0.0;12;2;19;37;49;46;42;40;38;15;5;25;4;2;2;4;2;0;40.0;48.0;49.0;52.0;0.0;41.79999923706055;43.900001525878906;43.20000076293945;43.79999923706055;0.0;111;126;131;137;0;0.008657228201627731;1.1410000324249268;1;619.2659301757812;0.0017319800099357963;-4.891940008633355e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;621.0997314453125;1;100.0;0.0;113;8;1;2;3.569000005722046;2.5409998893737793;2;27-11-25;;4040.0;M
9;ESTREITO;8;1;339;9;0;1423.0;1423.0;1423.0;1423.0;622.5;622.5;620.4570922851562;0.0;0.0;0.0;0.0;46.529998779296875;0.0;0.0;0.0;0.0;10;5;18;38;53;52;48;43;39;15;2;21;1;6;0;0;0;0;175.0;0.0;0.0;0.0;0.0;61.70000076293945;0.0;0.0;0.0;0.0;319;0;0;0;0;0.008890312165021896;0.8989999890327454;1;556.7177734375;0.001221759943291545;-7.512159072575741e-08;2.1663189905124502e-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;558.40478515625;1;100.0;0.0;115;3;1;2;1.246000051498413;2.4509999752044678;2;27-11-25;;1331.4000244140625;D
10;JAGUARA;9;1;24;10;0;450.0;450.0;450.0;450.0;558.5;558.5;557.4398193359375;0.0;0.0;0.0;0.0;33.89999008178711;0.0;0.0;0.0;0.0;8;3;20;44;56;54;46;44;44;22;5;26;1;4;0;0;0;0;106.0;0.0;0.0;0.0;0.0;44.099998474121094;0.0;0.0;0.0;0.0;269;0;0;0;0;0.008944203145802021;0.5019999742507935;1;510.02978515625;0.001769999973475933;-7.399996349022331e-08;1.1200000128719356e-11;-4.799998069236191e-16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;512.8432006835938;1;100.0;0.0;116;3;1;2;0.30300000309944153;9.75100040435791;2;27-11-25;;418.20001220703125;D
11;IGARAPAVA;10;1;18;11;0;480.0;480.0;480.0;480.0;512.0;512.0;512.0068359375;0.0;0.0;0.0;0.0;52.0;0.0;0.0;0.0;0.0;8;5;24;48;60;58;51;48;48;26;7;29;1;5;0;0;0;0;42.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;275;0;0;0;0;0.008995999582111835;0.17000000178813934;1;494.201904296875;0.0007816518191248178;-1.0431099894958606e-07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;494.9100036621094;1;100.0;0.0;119;4;2;2;1.0110000371932983;1.4989999532699585;2;27-11-25;;234.8300018310547;D
