NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    2.19  10.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00 639.99 639.99 509.82 509.82 509.82 509.82
  13 ANGRA 2       1350. 100.    2.51  15.66   0.00   0.00   0.00   0.00   0.00   0.00   0.00 1350.0 1350.0 1080.0 1080.0 1080.0 1048.4
 211 BAIXADA FLU    530. 100.    4.14   3.68   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 256 CIDADE LIVRO     0. 100.    2.50   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  97 CUBATAO        250. 100.    9.04   5.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00 001.53 000.00 000.00 000.00 000.00 000.00
  12 CUIABA G CC    529.  90.   12.80  53.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 153 DAIA            44. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  65 DO ATLAN_CSA   148.  93.    2.46   7.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00 083.04 126.71 144.39 144.39 125.76 133.27
 183 DO_ATLANTICO   235.  93.    2.46   7.63   0.00   0.00   0.00   0.00   0.00   0.00   0.00 204.66 218.68 197.07 197.07 197.07 000.00
 137 GNA I         1338. 100.    6.17   4.76   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 238 GNA II        1673. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 1672.6 1672.6 1598.2 1278.6 000.00 000.00
  63 IBIRITE        235. 100.    4.70   5.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  54 JUIZ DE FORA    87. 100.    5.54   3.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 245 KARKEY 013     259. 100.    1.14   2.95   0.00   0.00   0.00   0.00   0.00   0.00   0.00 031.00 031.00 029.00 029.00 029.00 000.00
 246 KARKEY 019     116. 100.    1.14   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  15 LINHARES       204. 100.    2.23   2.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 257 LINHARES LRC     0. 100.    2.19   1.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 247 LINHARES PCS    36. 100.    1.56   1.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 236 MARLIM AZUL    566. 100.    5.40   4.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 420.84 420.84 000.00
 110 N.PIRATINING   386.  97.    3.34  11.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  60 NORTEFLU       827. 100.    2.24   2.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 229 ONCA PINTADA    50.  95.    1.60   2.79   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 182 PALMEIRAS GO   176.  80.   71.26   7.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 248 PAULINIA VER    16. 100.    5.34   0.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00 015.74 015.74 015.09 015.09 015.09 000.00
  50 PIRAT.12 G     200. 100.    6.57  12.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 249 PORSUD I       116. 100.    1.28   2.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 250 PORSUD II       78. 100.    0.89   3.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 251 POVOACAO 1      75. 100.    1.43   0.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  62 SEROPEDICA     360. 100.    6.64   3.24   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
   4 ST.CRUZ 34     436.  92.   24.25  18.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  86 ST.CRUZ NOVA   500. 100.    3.94   4.47   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 146 STA VITORIA     41.  93.    4.13  10.72   0.00   0.00   0.00   0.00   0.00   0.00   0.00 018.00 018.00 016.00 016.00 016.00 015.33
 194 T. NORTE 2     349.  94.    0.24   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  90 TERMOMACAE     923. 100.    6.78   4.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  47 TERMORIO       989. 100.    6.00   5.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00 004.03 000.00 000.00 000.00 000.00 000.00
  68 TRES LAGOAS    350. 100.    9.47   3.15   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  49 VIANA          175. 100.    2.42   0.60   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 253 VIANA 1         37. 100.    1.54   0.90   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 334 W. ARJONA      177. 100.   11.31  46.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 108 XAVANTES        54. 100.    0.31   0.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  48 ARAUCARIA      484. 100.    3.92  43.57   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 254 B. BONITA I     10. 100.   18.94   2.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 237 CAMBARA          0. 100.    2.00   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 156 CANDIOTA 3     350. 100.   24.31  13.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00 320.00 320.00 210.00 210.00 210.00 009.33
  64 CANOAS         249. 100.    6.64  11.65   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  28 FIGUEIRA        20. 100.   11.84  12.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  26 J.LACERDA A1    80. 100.    8.46  13.75   0.00   0.00   0.00   0.00   0.00   0.00   0.00 001.29 000.00 073.22 073.22 073.22 000.00
  27 J.LACERDA A2   110. 100.    7.91  10.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 001.77 000.00 101.29 101.29 101.29 015.00
  25 J.LACERDA B    220. 100.    7.48   8.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00 003.55 000.00 203.53 203.53 203.53 100.00
  24 J.LACERDA C    330. 100.    6.75  14.20   0.00   0.00   0.00   0.00   0.00   0.00   0.00 009.68 000.00 307.72 307.72 307.72 180.00
 107 PAMPA SUL      345. 100.   22.46   9.28   0.00   0.00   0.00   0.00   0.00   0.00   0.00 330.00 330.00 267.50 267.50 000.00 000.00
 149 SAO SEPE         8.  90.   14.86   1.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 258 TROMBUDO         0. 100.    3.00   6.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  35 URUGUAIANA     640. 100.    0.12  72.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 235 CAMACARI MII   144. 100.    3.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  52 CAMPINA GDE    169. 100.   28.88   5.51   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 106 ERB CANDEIAS    17. 100.   46.72   9.71   0.00   0.00   0.00   0.00   0.00   0.00   0.00 003.50 003.50 003.50 003.50 003.50 001.17
  53 GLOBAL I       136. 100.    7.97   3.76   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  55 GLOBAL II      136. 100.    9.27   4.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  57 MARACANAU I    147. 100.   16.44  10.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 167 P. PECEM I     720. 100.    2.28   3.06   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 163 P. PECEM II    365. 100.    0.76   1.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 224 P. SERGIPE I  1593. 100.   13.91   1.45   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 162 PECEM II       144. 100.    2.90   0.97   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
  98 PERNAMBU_III   201. 100.   27.42   7.94   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 144 PETROLINA      136. 100.    4.34   2.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 151 POTIGUAR        48. 100.    2.75   5.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 161 POTIGUAR III    51. 100.    3.68   5.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
 223 PROSPERI III    56. 100.    2.90   3.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00
