 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2025                                                                                               18.
2026       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2027       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2028       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2029       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1  SUDESTE               ANDE
2025                                                                                             3447.
2026     3484.   3494.   3296.   2600.   2055.   1656.   1773.   1699.   2012.   2424.   2693.   2549.
2027     3301.   3668.   3461.   2730.   2158.   1738.   1862.   1784.   2112.   2546.   2827.   2676.
2028     3466.   3719.   3634.   2866.   2266.   1825.   1955.   1873.   2218.   2673.   2969.   2810.
2029     3639.   4045.   3815.   3010.   2379.   1917.   2053.   1967.   2329.   2807.   3117.   2951.
POS      3639.   4045.   3815.   3010.   2379.   1917.   2053.   1967.   2329.   2807.   3117.   2951.
   1  SUDESTE            MMGD SE
2025                                                                                             3739.
2026     3703.   3776.   3606.   3626.   3380.   3325.   3420.   3867.   3649.   3585.   3433.   3554.
2027     3518.   3776.   3606.   3626.   3380.   3325.   3420.   3867.   3649.   3585.   3433.   3554.
2028     3518.   3776.   3606.   3626.   3380.   3325.   3420.   3867.   3649.   3585.   3433.   3554.
2029     3518.   3776.   3606.   3626.   3380.   3325.   3420.   3867.   3649.   3585.   3433.   3554.
POS      3518.   3776.   3606.   3626.   3380.   3325.   3420.   3867.   3649.   3585.   3433.   3554.
   2      SUL             MMGD S
2025                                                                                             1577.
2026     1545.   1526.   1489.   1372.   1168.   1064.   1130.   1334.   1264.   1377.   1521.   1542.
2027     1510.   1526.   1489.   1372.   1168.   1064.   1130.   1334.   1264.   1377.   1521.   1542.
2028     1510.   1526.   1489.   1372.   1168.   1064.   1130.   1334.   1264.   1377.   1521.   1542.
2029     1510.   1526.   1489.   1372.   1168.   1064.   1130.   1334.   1264.   1377.   1521.   1542.
POS      1510.   1526.   1489.   1372.   1168.   1064.   1130.   1334.   1264.   1377.   1521.   1542.
   3 NORDESTE            MMGD NE
2025                                                                                             1510.
2026     1477.   1457.   1471.   1364.   1284.   1233.   1284.   1431.   1524.   1517.   1503.   1460.
2027     1429.   1457.   1471.   1364.   1284.   1233.   1284.   1431.   1524.   1517.   1503.   1460.
2028     1429.   1457.   1471.   1364.   1284.   1233.   1284.   1431.   1524.   1517.   1503.   1460.
2029     1429.   1457.   1471.   1364.   1284.   1233.   1284.   1431.   1524.   1517.   1503.   1460.
POS      1429.   1457.   1471.   1364.   1284.   1233.   1284.   1431.   1524.   1517.   1503.   1460.
   4    NORTE          BOA VISTA
2025                                                                                              151.
2026      149.    192.    195.    187.    166.    163.    163.    178.    200.    204.    200.    192.
2027      190.    202.    206.    198.    175.    172.    172.    189.    211.    215.    212.    203.
2028      200.    205.    217.    208.    184.    181.    182.    199.    223.    227.    223.    214.
2029      211.    225.    229.    220.    194.    191.    192.    210.    235.    239.    235.    226.
POS       211.    225.    229.    220.    194.    191.    192.    210.    235.    239.    235.    226.
   4    NORTE             MMGD N
2025                                                                                              504.
2026      489.    474.    476.    478.    486.    510.    523.    566.    559.    531.    509.    479.
2027      465.    474.    476.    478.    486.    510.    523.    566.    559.    531.    509.    479.
2028      465.    474.    476.    478.    486.    510.    523.    566.    559.    531.    509.    479.
2029      465.    474.    476.    478.    486.    510.    523.    566.    559.    531.    509.    479.
POS       465.    474.    476.    478.    486.    510.    523.    566.    559.    531.    509.    479.
 999
