 PCHAVE       PENALID1. PENALID2.   SIS
 XXXXXX       XXXXX.XX  XXXXX.XX    XXX
 DESVIO        8336.00                1
 DESVIO        8336.00                2
 DESVIO        8336.00                3
 DESVIO        8336.00                4
 DESVIO        8336.00                5
 DESVIO        8336.00                6
 DESVIO        8336.00                7
 DESVIO        8336.00                8
 DESVIO        8336.00                9
 DESVIO        8336.00               10
 DESVIO        8336.00               11
 DESVIO        8336.00               12
 VAZMIN        3275.76                1
 VAZMIN        3275.76                2
 VAZMIN        3275.76                3
 VAZMIN        3275.76                4
 VAZMIN        3275.76                5
 VAZMIN        3275.76                6
 VAZMIN        3275.76                7
 VAZMIN        3275.76                8
 VAZMIN        3275.76                9
 VAZMIN        3275.76               10
 VAZMIN        3275.76               11
 VAZMIN        3275.76               12
 GHMIN         3275.76                1
 GHMIN         3275.76                2
 GHMIN         3275.76                3
 GHMIN         3275.76                4
 GHMIN         3275.76                5
 GHMIN         3275.76                6
 GHMIN         3275.76                7
 GHMIN         3275.76                8
 GHMIN         3275.76                9
 GHMIN         3275.76               10
 GHMIN         3275.76               11
 GHMIN         3275.76               12
 TURBMN        3275.76                1
 TURBMN        3275.76                2
 TURBMN        3275.76                3
 TURBMN        3275.76                4
 TURBMN        3275.76                5
 TURBMN        3275.76                6
 TURBMN        3275.76                7
 TURBMN        3275.76                8
 TURBMN        3275.76                9
 TURBMN        3275.76               10
 TURBMN        3275.76               11
 TURBMN        3275.76               12
 TURBMX        3275.76                1
 TURBMX        3275.76                2
 TURBMX        3275.76                3
 TURBMX        3275.76                4
 TURBMX        3275.76                5
 TURBMX        3275.76                6
 TURBMX        3275.76                7
 TURBMX        3275.76                8
 TURBMX        3275.76                9
 TURBMX        3275.76               10
 TURBMX        3275.76               11
 TURBMX        3275.76               12
 ELETRI        3275.76                1
 ELETRI        3275.76                2
 ELETRI        3275.76                3
 ELETRI        3275.76                4
 ELETRI        3275.76                5
 ELETRI        3275.76                6
 ELETRI        3275.76                7
 ELETRI        3275.76                8
 ELETRI        3275.76                9
 ELETRI        3275.76               10
 ELETRI        3275.76               11
 ELETRI        3275.76               12
