VALORES CONSTANTE NO TEMPO
       ALF.x  LBD.x 
        15.0   40.0
VALORES DE ALFA VARIAVEIS NO TEMPO
       JAN.X  FEV.X  MAR.X  ABR.X  MAI.X  JUN.X  JUL.X  AGO.X  SET.X  OUT.X  NOV.X  DEZ.X
 2026    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 2027    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 2028    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 2029    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
 2030    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
POS      0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
VALORES DE LAMBDA VARIAVEIS NO TEMPO
       JAN.X  FEV.X  MAR.X  ABR.X  MAI.X  JUN.X  JUL.X  AGO.X  SET.X  OUT.X  NOV.X  DEZ.X
 2026   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
 2027   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
 2028   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
 2029   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
 2030   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
POS     10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
