NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
   1 POTEF   640.00  1 2026          ANGRA 1
   1 TEIFT     0.00  1 2026  2 2026  
   1 GTMIN 00639.99  1 2026  2 2026
   1 GTMIN 00509.82  3 2026  8 2026
   1 GTMIN    83.43  9 2026  9 2026
   1 GTMIN   459.02 11 2026 11 2026
   1 GTMIN   509.82 12 2026
  13 POTEF  1350.00  1 2026          ANGRA 2
  13 FCMAX    48.38  1 2026  1 2026  
  13 TEIFT     0.00  1 2026  1 2026  
  13 GTMIN   653.12  1 2026  1 2026
  13 FCMAX     0.00  2 2026  2 2026  
  13 GTMIN  1061.44  3 2026  3 2026
  13 GTMIN  1080.00  4 2026
 211 POTEF   530.00  1 2026          BAIXADA FLU
 211 TEIFT     0.00  1 2026  2 2026  
 211 GTMIN    28.99  1 2026  1 2026
 211 IPTER     0.00  1 2027  2 2027  
 211 IPTER    27.22  3 2027  3 2027  
 211 IPTER    21.64  4 2027  4 2027  
 211 IPTER     0.00  5 2027  7 2027  
 211 IPTER    83.87  8 2027  8 2027  
 211 IPTER     0.00  9 2027 12 2027  
  97 POTEF   249.90  1 2026          CUBATAO
  97 FCMAX    84.87  1 2026  1 2026  
  97 TEIFT     0.00  1 2026  2 2026  
  97 GTMIN    12.90  1 2026  1 2026
  97 FCMAX    76.06  2 2026  2 2026  
  97 FCMAX    86.43  3 2026          
  97 TEIFT     8.65  3 2026          
  97 IPTER    11.35  1 2027          
  12 POTEF   529.20  1 2026          CUIABA G CC
  12 FCMAX    92.59  1 2026  2 2026  
  12 TEIFT     0.00  1 2026  2 2026  
 153 POTEF    44.44  1 2026          DAIA
 153 FCMAX     0.00  1 2026          
  65 POTEF   161.41  1 2026          DO ATLAN_CSA
  65 FCMAX    99.99  1 2026  2 2026  
  65 TEIFT     0.00  1 2026  2 2026  
  65 GTMIN 00161.38  1 2026  2 2026
  65 FCMAX   100.00  3 2026          
  65 GTMIN 00157.43  3 2026  6 2026
  65 GTMIN    55.85  7 2026  7 2026
  65 GTMIN 00157.43  8 2026 12 2026
  65 IPTER    74.19  1 2027  1 2027  
  65 GTMIN    40.63  1 2027  1 2027
  65 IPTER     0.00  2 2027  2 2027  
  65 GTMIN   157.43  2 2027  2 2027
  65 IPTER    12.90  3 2027  3 2027  
  65 GTMIN   137.12  3 2027  3 2027
  65 IPTER     0.00  4 2027  6 2027  
  65 GTMIN 00157.43  4 2027  6 2027
  65 IPTER    64.52  7 2027  7 2027  
  65 GTMIN    55.85  7 2027  7 2027
  65 IPTER     0.00  8 2027  8 2027  
  65 GTMIN   157.43  8 2027  8 2027
  65 IPTER    13.33  9 2027  9 2027  
  65 GTMIN   136.44  9 2027  9 2027
  65 IPTER    12.90 10 2027 10 2027  
  65 GTMIN   137.12 10 2027 10 2027
  65 IPTER     0.00 11 2027 12 2027  
  65 GTMIN 00157.43 11 2027 12 2027
  65 GTMIN   145.42  1 2028
 183 POTEF   235.20  1 2026          DO_ATLANTICO
 183 FCMAX    52.29  1 2026  1 2026  
 183 TEIFT     0.00  1 2026  2 2026  
 183 GTMIN   122.97  1 2026  1 2026
 183 FCMAX    83.54  2 2026  2 2026  
 183 GTMIN   196.48  2 2026  2 2026
 183 FCMAX     0.00  3 2026          
 137 POTEF  1338.30  1 2026          GNA I
 137 FCMAX    99.98  1 2026  2 2026  
 137 TEIFT     0.00  1 2026  2 2026  
 238 POTEF  1672.60  1 2026          GNA II
 238 TEIFT     0.00  1 2026  2 2026  
 238 GTMIN 01598.16  7 2026  8 2026
 238 GTMIN  1380.45  9 2026  9 2026
 238 GTMIN  1598.16 10 2026 10 2026
 238 GTMIN  1278.58 11 2026 11 2026
 238 GTMIN 01598.16  7 2027 10 2027
 238 GTMIN  1278.58 11 2027 11 2027
 238 GTMIN 01598.16  7 2028 10 2028
 238 GTMIN  1278.58 11 2028 11 2028
 238 GTMIN 01598.16  7 2029 10 2029
 238 GTMIN  1278.58 11 2029 11 2029
 238 GTMIN 01598.16  7 2030 10 2030
 238 GTMIN  1278.58 11 2030 11 2030
  63 POTEF   235.00  1 2026          IBIRITE
  63 TEIFT     0.00  1 2026  2 2026  
  63 IPTER     0.00  1 2027  6 2027  
  63 IPTER    22.58  7 2027  7 2027  
  63 IPTER    74.19  8 2027  8 2027  
  63 IPTER     0.00  9 2027 12 2027  
  54 POTEF    87.05  1 2026          JUIZ DE FORA
  54 FCMAX    99.94  1 2026  6 2026  
  54 TEIFT     0.00  1 2026  2 2026  
  54 GTMIN     3.37  1 2026  1 2026
  54 FCMAX     3.23  7 2026  7 2026  
  54 FCMAX     0.00  8 2026          
 245 POTEF   258.64  1 2026  5 2026  KARKEY 013
 245 FCMAX    98.98  1 2026  5 2026  
 245 TEIFT     0.00  1 2026  2 2026  
 245 GTMIN 00031.00  1 2026  2 2026
 245 GTMIN 00029.00  3 2026  5 2026
 246 POTEF   115.92  1 2026  5 2026  KARKEY 019
 246 TEIFT     0.00  1 2026  2 2026  
 257 POTEF   204.00  7 2026          LINHARES LRC
 247 POTEF    36.00  1 2026  1 2026  LINHARES PCS
