UH   ME ANO   P  MWmedio
XXX  XX XXXX  X  XXXX.X
 66   1 2026  0  5773.7
 66   2 2026  0  5773.9
 66   3 2026  0  5193.0
 66   4 2026  0  4829.0
 66   5 2026  0  5036.0
 66   6 2026  0  4992.0
 66   7 2026  0  5040.0
 66   8 2026  0  5105.0
 66   9 2026  0  5395.0
 66  10 2026  0  5500.0
 66  11 2026  0  4896.0
 66  12 2026  0  4759.0
 66   1 2027  0  5439.0
 66   2 2027  0  5536.0
 66   3 2027  0  5336.0
 66   4 2027  0  4954.0
 66   5 2027  0  5171.0
 66   6 2027  0  5125.0
 66   7 2027  0  5175.0
 66   8 2027  0  5244.0
 66   9 2027  0  5548.0
 66  10 2027  0  5659.0
 66  11 2027  0  5024.0
 66  12 2027  0  4880.0
 66   1 2028  0  5594.0
 66   2 2028  0  5580.0
 66   3 2028  0  5486.0
 66   4 2028  0  5086.0
 66   5 2028  0  5313.0
 66   6 2028  0  5265.0
 66   7 2028  0  5318.0
 66   8 2028  0  5389.0
 66   9 2028  0  5709.0
 66  10 2028  0  5825.0
 66  11 2028  0  5158.0
 66  12 2028  0  5007.0
 66   1 2029  0  5757.0
 66   2 2029  0  5864.0
 66   3 2029  0  5644.0
 66   4 2029  0  5223.0
 66   5 2029  0  5462.0
 66   6 2029  0  5411.0
 66   7 2029  0  5467.0
 66   8 2029  0  5542.0
 66   9 2029  0  5878.0
 66  10 2029  0  6000.0
 66  11 2029  0  5300.0
 66  12 2029  0  5141.0
 66   1 2030  0  5928.0
 66   2 2030  0  6041.0
 66   3 2030  0  5805.0
 66   4 2030  0  5368.0
 66   5 2030  0  5618.0
 66   6 2030  0  5565.0
 66   7 2030  0  5624.0
 66   8 2030  0  5703.0
 66   9 2030  0  6055.0
 66  10 2030  0  6184.0
 66  11 2030  0  5448.0
 66  12 2030  0  5282.0
 66   1 POS   0  5928.0
 66   2 POS   0  6041.0
 66   3 POS   0  5805.0
 66   4 POS   0  5368.0
 66   5 POS   0  5618.0
 66   6 POS   0  5565.0
 66   7 POS   0  5624.0
 66   8 POS   0  5703.0
 66   9 POS   0  6055.0
 66  10 POS   0  6184.0
 66  11 POS   0  5448.0
 66  12 POS   0  5282.0
275   1 2026  0  1140.0
275   2 2026  0  1124.3
275   3 2026  0  1600.0
275   8 2026  0  1500.0
275   9 2026  0  1400.0
275  10 2026  0  1300.0
275  12 2026  0  1400.0
275   2 2027  0  1600.0
275   8 2027  0  1500.0
275   9 2027  0  1400.0
275  10 2027  0  1300.0
275  12 2027  0  1400.0
275   2 2028  0  1600.0
275   8 2028  0  1500.0
275   9 2028  0  1400.0
275  10 2028  0  1300.0
275  12 2028  0  1400.0
275   2 2029  0  1600.0
275   8 2029  0  1500.0
275   9 2029  0  1400.0
275  10 2029  0  1300.0
275  12 2029  0  1400.0
275   2 2030  0  1600.0
275   8 2030  0  1500.0
275   9 2030  0  1400.0
275  10 2030  0  1300.0
275  12 2030  0  1400.0
275   2 POS   0  1600.0
275   8 POS   0  1500.0
275   9 POS   0  1400.0
275  10 POS   0  1300.0
275  12 POS   0  1400.0
999
