EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
13ELENUCLEAR       1ANGRA 1           1 05092026  65    640.00
13ELENUCLEAR      13ANGRA 2           1 01032026   6   1350.00
68PETROBRAS      211BAIXADA FLU       1 10062026   6    172.00
68PETROBRAS      211BAIXADA FLU       1 01102026  51    172.00
68PETROBRAS      211BAIXADA FLU       2 17082026   6    172.00
68PETROBRAS      211BAIXADA FLU       3 24082026   6    186.00
68PETROBRAS       97CUBATAO           1 08082026  35    166.13
68PETROBRAS       97CUBATAO           2 07032026  37     49.87
68PETROBRAS       97CUBATAO           2 08082026  35     49.87
92TERNIUM         65DO ATLAN_CSA      1 01072026  20    161.41
26GNA I          137GNA I             4 01062026   7    466.20
29GNA II         238GNA II            1 05092026   7    366.73
29GNA II         238GNA II            2 05092026   7    366.73
29GNA II         238GNA II            3 05092026   7    366.73
68PETROBRAS       63IBIRITE           1 09032026  61    161.00
68PETROBRAS       63IBIRITE           2 09032026  61     74.00
68PETROBRAS       54JUIZ DE FORA      1 15032026   3     43.94
68PETROBRAS       54JUIZ DE FORA      1 14112026  10     43.94
68PETROBRAS       54JUIZ DE FORA      2 18032026   3     43.11
68PETROBRAS       54JUIZ DE FORA      2 24112026   8     43.11
19ENEVA          415LORM_MCH          2 06042026   5     51.00
29MARLIM AZL     236MARLIM AZUL       1 01052026  18    565.50
68PETROBRAS      110N.PIRATININGA     1 01062026  21     96.41
68PETROBRAS      110N.PIRATININGA     2 01062026  21     96.39
68PETROBRAS      110N.PIRATININGA     3 22062026  21     96.91
68PETROBRAS      110N.PIRATININGA     4 22062026  21     96.67
27ELDORADO       229ONCA PINTADA      1 22032026  10     50.00
68PETROBRAS       62SEROPEDICA        1 02042026  41     45.00
68PETROBRAS       62SEROPEDICA        2 02042026  41     45.00
68PETROBRAS       62SEROPEDICA        3 01082026  39     45.00
68PETROBRAS       62SEROPEDICA        5 22052026  41     45.00
68PETROBRAS       62SEROPEDICA        6 22052026  41     45.00
68PETROBRAS       62SEROPEDICA        6 25102026  31     45.00
68PETROBRAS       62SEROPEDICA        7 06072026  41     45.00
68PETROBRAS       62SEROPEDICA        8 06072026  41     45.00
68PETROBRAS       62SEROPEDICA        8 09092026  46     45.00
26JALLES BIOE    146STA VITORIA       1 01032026   2     41.40
68PETROBRAS       90TERMOMACAE        1 14082026  30     47.21
68PETROBRAS       90TERMOMACAE        2 18092026  30     46.02
68PETROBRAS       90TERMOMACAE        5 01062026  30     45.35
68PETROBRAS       90TERMOMACAE        6 01062026  30     46.63
68PETROBRAS       90TERMOMACAE        6 10072026  30     46.63
68PETROBRAS       90TERMOMACAE        7 01062026  10     46.33
68PETROBRAS       90TERMOMACAE        8 15062026  10     46.32
68PETROBRAS       90TERMOMACAE        9 01052026  30     46.01
68PETROBRAS       90TERMOMACAE        9 13102026  10     46.01
