NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    2.19  10.38 639.99 639.99 509.82 509.82 509.82 509.82 509.82 509.82 083.43 000.00 459.02 509.82 509.82
  13 ANGRA 2       1350. 100.    2.51  15.66 653.12 000.00 1061.4 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0 1080.0
 211 BAIXADA FLU    530. 100.    4.14   3.68 028.99 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  97 CUBATAO        250. 100.    9.04   5.21 012.90 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  12 CUIABA G CC    529.  90.   12.80  53.84 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 153 DAIA            44. 100.    0.00   0.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  65 DO ATLAN_CSA   161.  93.    2.46   7.63 161.38 161.38 157.43 157.43 157.43 157.43 055.85 157.43 157.43 157.43 157.43 157.43 142.59
 183 DO_ATLANTICO   235.  93.    2.46   7.63 122.97 196.48 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 137 GNA I         1338. 100.    6.17   4.76 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 238 GNA II        1673. 100.    2.50   2.00 000.00 000.00 000.00 000.00 000.00 000.00 1598.2 1598.2 1380.5 1598.2 1278.6 000.00 000.00
  63 IBIRITE        235. 100.    4.70   5.80 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  54 JUIZ DE FORA    87. 100.    5.54   3.44 003.37 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 245 KARKEY 013     259. 100.    1.14   2.95 031.00 031.00 029.00 029.00 029.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 246 KARKEY 019     116. 100.    1.14   2.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 257 LINHARES LRC     0. 100.    2.19   1.84 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 247 LINHARES PCS    36. 100.    1.56   1.71 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 415 LORM_MCH       240. 100.    2.23   2.15 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 236 MARLIM AZUL    566. 100.    5.40   4.08 494.74 495.00 420.84 420.84 000.00 000.00 000.00 000.00 000.00 000.00 420.84 420.84 000.00
 110 N.PIRATINING   386.  97.    3.34  11.60 015.27 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  60 NORTEFLU       827. 100.    2.24   2.62 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 229 ONCA PINTADA    50.  95.    1.60   2.79 000.00 000.00 000.00 027.44 027.44 027.44 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 182 PALMEIRAS GO   176.  80.   71.26   7.39 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 248 PAULINIA VER    20. 100.    5.34   0.53 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 249 PORSUD I       116. 100.    1.28   2.84 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 250 PORSUD II       78. 100.    0.89   3.58 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 251 POVOACAO 1      75. 100.    1.43   0.88 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 451 POVOACAO_MCH    75. 100.    1.43   0.88 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  62 SEROPEDICA     360. 100.    6.64   3.24 014.47 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
   4 ST.CRUZ 34     436.  92.   24.25  18.01 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  86 ST.CRUZ NOVA   500. 100.    3.94   4.47 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 146 STA VITORIA     41.  93.    4.13  10.72 000.00 000.00 016.00 016.00 016.00 016.00 016.00 016.00 016.00 016.00 016.00 016.00 015.33
 194 T. NORTE 2     349.  94.    0.24   1.40 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  90 TERMOMACAE     923. 100.    6.78   4.09 032.56 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  47 TERMORIO       989. 100.    6.00   5.20 019.35 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  68 TRES LAGOAS    350. 100.    9.47   3.15 017.42 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  49 VIANA          175. 100.    2.42   0.60 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 253 VIANA 1         37. 100.    1.54   0.90 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 334 W. ARJONA      144. 100.    2.50   3.49 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 108 XAVANTES        54. 100.    0.31   0.35 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  48 ARAUCARIA      484. 100.    3.92  43.57 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 254 B. BONITA I     10. 100.   18.94   2.35 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 237 CAMBARA          0. 100.    2.00   2.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 156 CANDIOTA 3     350. 100.   24.31  13.53 000.00 000.00 000.00 000.00 210.00 028.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  64 CANOAS         249. 100.    6.64  11.65 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  26 J.LACERDA A1    80. 100.   25.16  11.59 000.00 000.00 000.00 005.00 007.00 000.00 006.00 007.00 000.00 007.00 007.00 000.00 000.00
  27 J.LACERDA A2   110. 100.   25.16  11.59 038.64 050.00 040.00 015.00 015.00 040.00 060.00 050.00 046.00 040.00 040.00 040.00 015.00
  25 J.LACERDA B    220. 100.    6.00  11.02 067.31 110.00 100.00 100.00 100.00 132.00 188.00 206.79 206.79 206.79 206.79 132.00 100.00
  24 J.LACERDA C    330. 100.    4.11   5.44 251.28 300.00 071.44 000.00 051.03 240.00 260.00 280.00 280.00 280.00 280.00 242.00 180.00
 107 PAMPA SUL      345. 100.   22.46   9.28 000.00 000.00 000.00 000.00 000.00 267.50 267.50 267.50 267.50 267.50 267.50 267.50 000.00
 149 SAO SEPE         8.  90.   14.86   1.35 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 258 TROMBUDO         0. 100.    3.00   6.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  35 URUGUAIANA     640. 100.    0.12  72.86 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 235 CAMACARI MII   144. 100.    3.00   1.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  52 CAMPINA GDE    169. 100.   28.88   5.51 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 106 ERB CANDEIAS    17. 100.   46.72   9.71 000.00 000.00 003.50 003.50 003.50 003.50 003.50 002.65 003.50 001.80 003.50 003.50 001.80
  53 GLOBAL I       136. 100.    2.00   2.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  55 GLOBAL II      136. 100.    2.00   2.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
  57 MARACANAU I    147. 100.   16.44  10.08 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 167 P. PECEM I     720. 100.    2.28   3.06 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 163 P. PECEM II    365. 100.    0.76   1.53 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 224 P. SERGIPE I  1593. 100.   13.91   1.45 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
 162 PECEM II       144. 100.    2.90   0.97 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00 000.00
