&RE; cod_rest;  formula
RE ;        1;   ger_usih(285) + ger_usih(287)
RE ;       20;   1.0ener_interc(2,1) + 0.5ger_usih(66)
RE ;       21;   1.0ener_interc(11,1) + ger_usih(261)+ ger_usih(257)
RE ;       22;   1.0ener_interc(11,1) + 1.0ener_interc(3,1) + ger_usih(261)+ ger_usih(257)
RE ;       23;   1.0ener_interc(11,1) + 1.0ener_interc(3,1) + 1.0ener_interc(4,1) + ger_usih(261)+ ger_usih(257)
& Tratamento realizado pela CCEE, com base no Art. 20, paragrafo 2, da REN ANEEL no 1032/2022
&RE ;       10;   ger_usih(204) + ger_usih(284)
RE ;       24;   ger_usih(112)
 
&RE-HORIZ-PER; cod_rest; PerIni; PerFin
RE-HORIZ-PER ;        1;2026/01;2026/02
RE-HORIZ-PER ;       20;2026/01;2026/12
RE-HORIZ-PER ;       21;2026/01;2026/12
RE-HORIZ-PER ;       22;2026/01;2026/02
RE-HORIZ-PER ;       23;2026/03;2026/12
& Tratamento realizado pela CCEE, com base no Art. 20, paragrafo 2, da REN ANEEL no 1032/2022
&RE-HORIZ-PER ;       10;2026/01;2026/02
RE-HORIZ-PER ;       24;2026/01;2026/12
 
&RE-LIM-FORM-PER-PAT; cod_rest;  PerIni;  PerFin;   Pat;    LimInf;  LimSup
& Escoamento Madeira
RE-LIM-FORM-PER-PAT ;        1; 2026/01; 2026/01;     1;   -1.1e30;  7372.69
RE-LIM-FORM-PER-PAT ;        1; 2026/01; 2026/01;     2;   -1.1e30;  7372.69
RE-LIM-FORM-PER-PAT ;        1; 2026/01; 2026/01;     3;   -1.1e30;  7372.69
RE-LIM-FORM-PER-PAT ;        1; 2026/02; 2026/02;     1;   -1.1e30;  7415.47
RE-LIM-FORM-PER-PAT ;        1; 2026/02; 2026/02;     2;   -1.1e30;  7415.47
RE-LIM-FORM-PER-PAT ;        1; 2026/02; 2026/02;     3;   -1.1e30;  7415.47
& Limite Sul-SE = Min (FSUL , RSE - 1/2 Itaipu) - valores de RSE:
RE-LIM-FORM-PER-PAT ;       20; 2026/01; 2026/01;     1;   -1.1e30;  6495.00
RE-LIM-FORM-PER-PAT ;       20; 2026/01; 2026/01;     2;   -1.1e30;  8795.00
RE-LIM-FORM-PER-PAT ;       20; 2026/01; 2026/01;     3;   -1.1e30;  9430.00
RE-LIM-FORM-PER-PAT ;       20; 2026/02; 2026/02;     1;   -1.1e30;  6095.00
RE-LIM-FORM-PER-PAT ;       20; 2026/02; 2026/02;     2;   -1.1e30;  4895.00
RE-LIM-FORM-PER-PAT ;       20; 2026/02; 2026/02;     3;   -1.1e30;  7780.00
RE-LIM-FORM-PER-PAT ;       20; 2026/03; 2026/12;     1;   -1.1e30; 10200.00
RE-LIM-FORM-PER-PAT ;       20; 2026/03; 2026/12;     2;   -1.1e30; 10200.00
RE-LIM-FORM-PER-PAT ;       20; 2026/03; 2026/12;     3;   -1.1e30; 10900.00
&  Limite Imperatriz - Sudeste = FNS - Lajeado - Peixe Angical - valores do FNS:
RE-LIM-FORM-PER-PAT ;       21; 2026/01; 2026/01;     1;   -1.1e30;  3200.00
RE-LIM-FORM-PER-PAT ;       21; 2026/01; 2026/01;     2;   -1.1e30;  3200.00
RE-LIM-FORM-PER-PAT ;       21; 2026/01; 2026/01;     3;   -1.1e30;  3000.00
RE-LIM-FORM-PER-PAT ;       21; 2026/02; 2026/02;     1;   -1.1e30;  3200.00
RE-LIM-FORM-PER-PAT ;       21; 2026/02; 2026/02;     2;   -1.1e30;  3200.00
RE-LIM-FORM-PER-PAT ;       21; 2026/02; 2026/02;     3;   -1.1e30;  3200.00
RE-LIM-FORM-PER-PAT ;       21; 2026/03; 2026/12;     1;   -1.1e30;  5400.00
RE-LIM-FORM-PER-PAT ;       21; 2026/03; 2026/12;     2;   -1.1e30;  5400.00
RE-LIM-FORM-PER-PAT ;       21; 2026/03; 2026/12;     3;   -1.1e30;  5200.00
& Limite FNS + FNESE = Limite 11-1 + Limite 3-1 + Lajeado + Peixe Angical 
RE-LIM-FORM-PER-PAT ;       22; 2026/01; 2026/01;     1;   -1.1e30;  7700.00
RE-LIM-FORM-PER-PAT ;       22; 2026/01; 2026/01;     2;   -1.1e30;  6185.00
RE-LIM-FORM-PER-PAT ;       22; 2026/01; 2026/01;     3;   -1.1e30;  7300.00
RE-LIM-FORM-PER-PAT ;       22; 2026/02; 2026/02;     1;   -1.1e30;  7488.00
RE-LIM-FORM-PER-PAT ;       22; 2026/02; 2026/02;     2;   -1.1e30;  6516.00
RE-LIM-FORM-PER-PAT ;       22; 2026/02; 2026/02;     3;   -1.1e30;  7700.00
& Limite FNS + FNESE + XINGU->SE/CO +  = Limite 11-1 + Limite 3-1 + + Limite 4-1 + Lajeado + Peixe Angical 
RE-LIM-FORM-PER-PAT ;       23; 2026/03; 2026/06;     1;   -1.1e30; 19800.00
