modelo,deck,tipo,codigo,nome,potencia_efetiva,fcmax,teif,ip,arquivo_origem,tipo_combustivel
NEWAVE,NW202502,Usina Térmica Individual,1,ANGRA 1,,100.0,2.14,9.55,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,4,ST.CRUZ 34,,92.0,24.25,18.01,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,12,CUIABA G CC,,90.0,7.62,3.86,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,12,CUIABA CC,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,13,ANGRA 2,,100.0,2.78,15.09,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,15,LINHARES,,100.0,2.16,1.62,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,21,MARANHAO V,,100.0,1.43,1.26,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,24,J.LACERDA C,,100.0,7.57,14.3,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,24,J.LACER. C,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,25,J.LACERDA B,,100.0,8.22,13.62,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,25,J.LACER. B,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,26,J.LACERDA A1,,100.0,10.13,20.86,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,26,J.LAC. A1,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,27,J.LAC. A2,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,27,J.LACERDA A2,,100.0,8.7,13.0,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,28,FIGUEIRA,,100.0,11.84,12.39,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,35,URUGUAIANA,,100.0,0.14,56.17,TERM.DAT,
NEWAVE,NW202502,Usina Térmica Individual,36,MARANHAO IV,,100.0,1.31,0.76,TERM.DAT,
DECOMP,DC202501-sem1,Usina Térmica Individual,36,MARANHAOIV,,,,,dadger..rv0,
DECOMP,DC202501-sem1,Usina Térmica Individual,43,T.BAHIA,,,,,dadger..rv0,
NEWAVE,NW202502,Usina Térmica Individual,43,TERMOBAHIA,,86.0,3.78,10.06,TERM.DAT,
